,0
2009-07-06 00:00:00,26274.67
2009-07-06 01:00:00,25008.58
2009-07-06 02:00:00,24300.46
2009-07-06 03:00:00,24189.39
2009-07-06 04:00:00,24777.92
2009-07-06 05:00:00,26041.08
2009-07-06 06:00:00,28110.04
2009-07-06 07:00:00,30889.53
2009-07-06 08:00:00,33332.76
2009-07-06 09:00:00,35317.77
2009-07-06 10:00:00,37197.4
2009-07-06 11:00:00,38766.12
2009-07-06 12:00:00,39837.89
2009-07-06 13:00:00,40690.44
2009-07-06 14:00:00,41219.9
2009-07-06 15:00:00,41604.87
2009-07-06 16:00:00,41938.17
2009-07-06 17:00:00,41928.16
2009-07-06 18:00:00,41187.43
2009-07-06 19:00:00,39860.84
2009-07-06 20:00:00,38688.8
2009-07-06 21:00:00,37616.66
2009-07-06 22:00:00,34727.15
2009-07-06 23:00:00,31258.84
2009-07-07 00:00:00,28996.35
2009-07-07 01:00:00,27413.8
2009-07-07 02:00:00,26482.79
2009-07-07 03:00:00,26147.4
2009-07-07 04:00:00,26644.89
2009-07-07 05:00:00,27836.41
2009-07-07 06:00:00,29852.22
2009-07-07 07:00:00,32513.97
2009-07-07 08:00:00,34856.76
2009-07-07 09:00:00,37048.81
2009-07-07 10:00:00,38890.24
2009-07-07 11:00:00,40503.11
2009-07-07 12:00:00,41677.03
2009-07-07 13:00:00,42499.41
2009-07-07 14:00:00,42937.14
2009-07-07 15:00:00,43195.84
2009-07-07 16:00:00,43215.35
2009-07-07 17:00:00,42682.93
2009-07-07 18:00:00,41589.3
2009-07-07 19:00:00,40101.45
2009-07-07 20:00:00,39172.96
2009-07-07 21:00:00,38009.35
2009-07-07 22:00:00,35059.77
2009-07-07 23:00:00,32077.68
2009-07-08 00:00:00,29765.86
2009-07-08 01:00:00,28216.21
2009-07-08 02:00:00,27223.04
2009-07-08 03:00:00,26831.13
2009-07-08 04:00:00,27164.51
2009-07-08 05:00:00,28656.71
2009-07-08 06:00:00,30516.82
2009-07-08 07:00:00,32849.73
2009-07-08 08:00:00,34740.81
2009-07-08 09:00:00,36241.66
2009-07-08 10:00:00,37624.41
2009-07-08 11:00:00,38924.88
2009-07-08 12:00:00,39844.86
2009-07-08 13:00:00,40645.14
2009-07-08 14:00:00,40946.46
2009-07-08 15:00:00,41106.27
2009-07-08 16:00:00,40982.51
2009-07-08 17:00:00,40413.6
2009-07-08 18:00:00,39287.54
2009-07-08 19:00:00,38100.45
2009-07-08 20:00:00,37390.94
2009-07-08 21:00:00,36483.59
2009-07-08 22:00:00,33997.08
2009-07-08 23:00:00,31086.28
2009-07-09 00:00:00,29011.82
2009-07-09 01:00:00,27647.03
2009-07-09 02:00:00,26781.49
2009-07-09 03:00:00,26405.84
2009-07-09 04:00:00,26884.07
2009-07-09 05:00:00,28357.3
2009-07-09 06:00:00,30324.0
2009-07-09 07:00:00,32689.35
2009-07-09 08:00:00,34569.46
2009-07-09 09:00:00,36151.84
2009-07-09 10:00:00,37747.17
2009-07-09 11:00:00,39118.94
2009-07-09 12:00:00,40228.06
2009-07-09 13:00:00,41379.78
2009-07-09 14:00:00,42083.54
2009-07-09 15:00:00,42463.33
2009-07-09 16:00:00,42681.7
2009-07-09 17:00:00,42514.35
2009-07-09 18:00:00,41595.14
2009-07-09 19:00:00,40528.38
2009-07-09 20:00:00,39993.8
2009-07-09 21:00:00,39155.33
2009-07-09 22:00:00,36452.05
2009-07-09 23:00:00,33402.56
2009-07-10 00:00:00,31094.21
2009-07-10 01:00:00,29428.67
2009-07-10 02:00:00,28337.61
2009-07-10 03:00:00,27913.26
2009-07-10 04:00:00,28185.28
2009-07-10 05:00:00,29549.97
2009-07-10 06:00:00,31552.8
2009-07-10 07:00:00,34023.44
2009-07-10 08:00:00,36154.5
2009-07-10 09:00:00,38011.7
2009-07-10 10:00:00,39698.07
2009-07-10 11:00:00,41258.6
2009-07-10 12:00:00,42538.0
2009-07-10 13:00:00,43472.81
2009-07-10 14:00:00,43724.56
2009-07-10 15:00:00,43802.55
2009-07-10 16:00:00,43694.3
2009-07-10 17:00:00,43066.76
2009-07-10 18:00:00,41852.62
2009-07-10 19:00:00,40442.97
2009-07-10 20:00:00,39451.63
2009-07-10 21:00:00,38641.59
2009-07-10 22:00:00,36104.11
2009-07-10 23:00:00,33235.25
2009-07-11 00:00:00,30907.29
2009-07-11 01:00:00,29165.06
2009-07-11 02:00:00,27918.5
2009-07-11 03:00:00,27366.8
2009-07-11 04:00:00,27218.69
2009-07-11 05:00:00,27332.73
2009-07-11 06:00:00,27909.72
