Market Day,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),MISO ActualLoad (MWh),MISO ISO MTLF (MWh),MISO MTLF (MWh),Midwest ISO ActualLoad (MWh),Midwest ISO MTLF (MWh),North ActualLoad (MWh),North MTLF (MWh),South ActualLoad (MWh),South MTLF (MWh),West ActualLoad (MWh),West MTLF (MWh)
07/06/2009,21654.2991667,21574.9583333,28127.9895833,29054.75,,,,62493.1925,63440.4583333,,,,,12710.90375,12810.75
07/07/2009,22956.5741667,23193.5833333,27699.6941667,28019.625,,,,63508.2341667,64122.2916667,,,,,12851.9658333,12909.0833333
07/08/2009,22402.2125,23309.4166667,27335.6408333,27693.4583333,,,,62295.66125,63815.2083333,,,,,12557.8079167,12812.3333333
07/09/2009,23165.5275,23031.1666667,28635.9729167,28576.0833333,,,,64392.9033333,64674.0,,,,,12591.4029167,13066.75
07/10/2009,23676.9079167,24905.1666667,29816.7820833,30258.3333333,,,,66701.5845833,68495.0,,,,,13207.8945833,13331.5
07/11/2009,21848.5766667,22913.7916667,27596.2329167,27654.625,,,,60695.5795833,61826.45,,,,,11250.77,11258.0333333
07/12/2009,20356.9570833,21796.2083333,24671.1058333,24983.7916667,,,,55857.8341667,58012.4583333,,,,,10829.77125,11232.4583333
07/13/2009,22802.42125,22775.3333333,28374.79625,28775.7916667,,,,63736.0033333,64256.9166667,,,,,12558.7858333,12705.7916667
07/14/2009,22342.1570833,23427.9583333,28381.0675,28573.125,,,,63360.87875,65221.9166667,,,,,12637.6541667,13220.8333333
07/15/2009,23337.2245833,24015.75,30641.31125,30037.5833333,,,,66504.4483333,66662.7083333,,,,,12525.9125,12609.375
07/16/2009,24098.6845833,23926.4583333,31189.0975,31657.5,,,,67111.0308333,67847.5833333,,,,,11823.24875,12263.625
07/17/2009,20827.8758333,21796.375,27405.2191667,28053.125,,,,59317.3625,61320.7916667,,,,,11084.2675,11471.2916667
07/18/2009,17352.2204167,18040.9166667,23208.15125,23825.3333333,,,,50649.2570833,52115.125,,,,,10088.8854167,10248.875
07/19/2009,17394.7504167,17574.3333333,22865.4904167,23086.7083333,,,,50510.9879167,50969.8333333,,,,,10250.7470833,10308.7916667
07/20/2009,20753.6483333,20557.9166667,28198.23,28337.5833333,,,,61085.4825,61137.875,,,,,12133.6041667,12242.375
07/21/2009,21064.48125,20995.5,28957.4275,29296.5416667,,,,62436.0541667,62662.9583333,,,,,12414.1454167,12370.9166667
07/22/2009,20426.2766667,20670.0833333,28932.71375,29237.0,,,,61832.44625,62502.5,,,,,12473.4558333,12595.4166667
07/23/2009,21491.8595833,20967.9166667,29069.41875,29039.375,,,,63571.50875,62935.0,,,,,13010.2304167,12927.7083333
07/24/2009,22816.8304167,22553.375,28868.5041667,29096.6666667,,,,64539.0191667,64824.7916667,,,,,12853.6845833,13174.75
07/25/2009,20927.3245833,21931.6666667,26117.0941667,26927.3333333,,,,58059.535,60302.0833333,,,,,11015.11625,11443.0833333
07/26/2009,20398.83125,20063.4583333,24912.6795833,25691.625,,,,56625.8679167,56643.5416667,,,,,11314.3570833,10888.4583333
07/27/2009,23414.1754167,23711.7083333,30831.5616667,31122.375,,,,67602.1204167,68011.625,,,,,13356.3833333,13177.5416667
07/28/2009,23947.4229167,24383.7083333,32415.6333333,32505.2916667,,,,68803.0716667,69557.0416667,,,,,12440.0154167,12668.0416667
07/29/2009,22882.1041667,23599.875,30823.2370833,31753.7083333,,,,65723.0766667,67532.9583333,,,,,12017.7354167,12179.375
07/30/2009,22542.9679167,22574.0833333,29878.3079167,30545.3333333,,,,64355.6266667,64969.3333333,,,,,11934.3508333,11849.9166667
07/31/2009,22207.85125,22081.2083333,29761.87375,29603.2916667,,,,63741.0566667,63660.8333333,,,,,11771.3316667,11976.3333333
08/01/2009,19388.26,20842.5833333,25722.9554167,27013.9166667,,,,55410.28375,58459.875,,,,,10299.0683333,10603.375
08/02/2009,19338.14625,19650.0,24578.6516667,25434.3333333,,,,54445.8070833,55841.7916667,,,,,10529.0091667,10757.4583333
08/03/2009,22881.4916667,23225.875,30101.9491667,30397.5,,,,65933.1179167,66585.125,,,,,12949.6770833,12961.75
08/04/2009,23028.4925,24272.6666667,32761.4879167,32588.2083333,,,,68433.6329167,69729.2083333,,,,,12643.6525,12868.3333333
08/05/2009,23210.0595833,24435.5,30209.9066667,31613.5416667,,,,65668.2341667,68725.4583333,,,,,12248.2679167,12676.4166667
08/06/2009,23071.2933333,23299.5833333,29424.98125,29530.1666667,,,,64957.7804167,65459.7083333,,,,,12461.5058333,12629.9583333
08/07/2009,22536.0308333,23477.1666667,28432.2854167,28986.6666667,,,,62985.2016667,64918.0,,,,,12016.8854167,12454.1666667
08/08/2009,23931.6770833,22915.25,26619.5045833,26938.7916667,,,,62736.7120833,61995.7083333,,,,,12185.5304167,12141.6666667
08/09/2009,25397.9716667,24703.125,31953.7045833,31196.7083333,,,,69559.3295833,68449.0416667,,,,,12207.6533333,12549.2083333
08/10/2009,26182.2733333,27058.5,35738.4066667,37506.7916667,,,,75311.7291667,78003.625,,,,,13391.0491667,13438.3333333
08/11/2009,25047.84875,25724.4166667,33919.1983333,34196.2083333,,,,72553.0304167,73604.9166667,,,,,13585.9833333,13684.2916667
08/12/2009,23866.4316667,24066.4583333,32326.46625,32603.0416667,,,,70499.055,70878.0416667,,,,,14306.1570833,14208.5416667
08/13/2009,24000.16625,24099.4583333,32746.2941667,32900.6666667,,,,71152.0283333,72126.0833333,,,,,14405.5679167,15125.9583333
08/14/2009,24057.8520833,24026.2083333,33599.1745833,33564.9583333,,,,72261.3029167,72552.375,,,,,14604.27625,14961.2083333
08/15/2009,23164.975,22978.375,31097.0170833,30974.0833333,,,,66953.5358333,67283.5416667,,,,,12691.54375,13331.0833333
08/16/2009,23725.7883333,23857.875,31126.5875,31052.5,,,,66703.5179167,67056.5,,,,,11851.1420833,12146.125
08/17/2009,25538.8129167,26422.6666667,34878.2625,36440.3333333,,,,73069.0270833,75779.375,,,,,12651.9516667,12916.375
08/18/2009,24888.3641667,25630.2916667,33980.4279167,35125.4166667,,,,71239.2404167,73198.5,,,,,12370.4483333,12442.7916667
08/19/2009,25111.4845833,25010.9583333,32873.21375,33062.9166667,,,,70218.6770833,70672.0,,,,,12233.97875,12598.125
08/20/2009,23773.5533333,24419.4583333,32587.2358333,33868.5,,,,68359.8720833,70175.9583333,,,,,11999.0829167,11888.0
08/21/2009,21869.98875,21913.7083333,29708.1670833,30824.625,,,,63032.65,64413.5833333,,,,,11454.4941667,11675.25
08/22/2009,18191.06125,18907.0833333,24347.2408333,25118.4583333,,,,52897.3725,54422.4583333,,,,,10359.0704167,10396.9166667
08/23/2009,17623.9554167,18103.5833333,23334.525,23730.25,,,,51467.6883333,52454.3333333,,,,,10509.2079167,10620.5
08/24/2009,20992.555,20847.5416667,28873.8441667,28645.5416667,,,,62502.0395833,62375.0416667,,,,,12635.6404167,12881.9583333
08/25/2009,22488.8870833,22440.5416667,30506.7370833,31170.4166667,,,,66061.6254167,66601.4583333,,,,,13066.00125,12990.5
08/26/2009,23932.8166667,23192.6666667,30007.9345833,30483.2083333,,,,66480.9629167,66417.7083333,,,,,12540.2116667,12741.8333333
08/27/2009,24766.7483333,24388.5833333,28495.7483333,28982.8333333,,,,65736.6058333,65577.75,,,,,12474.1091667,12206.3333333
08/28/2009,22489.2358333,23145.4166667,27654.29625,28264.7916667,,,,62023.4054167,63421.8333333,,,,,11879.8733333,12011.625
08/29/2009,19458.5704167,18895.4583333,24093.0291667,24392.75,,,,53758.5016667,53716.9166667,,,,,10206.9020833,10428.7083333
08/30/2009,16978.0483333,17859.625,22294.8158333,22860.3333333,,,,49124.0804167,50738.2083333,,,,,9851.21625,10018.25
08/31/2009,19082.24,19600.9166667,26623.1920833,26870.5,,,,57068.5208333,58044.9166667,,,,,11363.08875,11573.5
09/01/2009,19337.7058333,19371.1666667,27337.1654167,27428.0,,,,60741.75625,61405.625,,,,,14066.885,14606.4583333
