DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
1/1/2008,WEST,585,570,530,510,526,523,512,442,457,493,484,510,531,549,568,570,580,530,535,548,543,546,542,555,
1/2/2008,WEST,529,502,494,484,479,455,452,432,387,338,292,270,251,252,250,262,247,262,288,331,318,233,158,129,
1/3/2008,WEST,116,91,93,75,66,37,31,47,90,238,318,281,282,348,369,420,481,542,568,578,589,594,590,595,
1/4/2008,WEST,589,593,563,546,563,556,526,515,563,570,533,471,418,419,438,468,509,547,579,593,609,632,642,633,
1/5/2008,WEST,628,633,623,626,617,604,594,578,566,586,573,572,584,566,556,553,533,557,566,593,585,552,601,565,
1/6/2008,WEST,505,550,554,538,534,547,575,583,571,578,572,571,564,567,578,531,492,479,456,463,446,396,375,354,
1/7/2008,WEST,349,339,329,369,451,505,552,556,586,594,591,587,586,580,559,539,561,549,557,399,401,404,414,224,
1/8/2008,WEST,305,140,130,214,323,293,253,217,239,187,204,329,336,356,382,358,275,275,403,526,592,607,622,635,
1/9/2008,WEST,616,576,491,393,273,252,238,208,200,156,129,83,64,60,58,51,50,48,44,76,131,211,276,316,
1/10/2008,WEST,364,367,340,321,319,294,369,413,423,396,311,327,334,321,232,229,135,101,87,148,352,418,494,515,
1/11/2008,WEST,543,575,591,580,571,551,479,432,414,425,325,311,325,287,278,267,205,211,182,143,66,52,33,77,
1/12/2008,WEST,144,177,155,160,108,172,211,252,303,285,231,224,228,247,288,275,231,190,162,175,237,197,156,179,
1/13/2008,WEST,203,197,245,261,268,280,291,277,298,257,257,272,264,290,341,376,434,473,455,415,397,361,335,324,
1/14/2008,WEST,278,272,323,377,426,431,408,406,471,488,498,480,478,511,485,503,486,492,533,540,512,446,375,330,
1/15/2008,WEST,294,222,198,170,147,143,110,88,83,68,36,41,41,47,53,55,53,53,59,88,170,255,335,430,
1/16/2008,WEST,498,482,492,551,556,526,514,511,553,547,493,464,502,504,493,440,356,358,401,407,470,474,493,502,
1/17/2008,WEST,476,424,350,303,258,278,312,383,418,484,532,551,568,603,630,645,654,665,629,605,562,561,575,575,
1/18/2008,WEST,572,472,341,391,285,352,366,461,504,410,267,327,404,439,436,467,460,489,402,437,506,464,482,452,
1/19/2008,WEST,517,502,461,464,482,369,316,286,248,275,264,222,293,361,407,381,377,405,347,331,336,293,333,353,
