DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,
1/1/2009,WEST,274,429,462,552,698,755,744,758,801,797,818,826,830,789,745,595,517,422,535,568,553,631,639,617,,,
1/2/2009,WEST,641,649,638,621,677,760,747,652,458,397,359,319,276,243,219,201,193,190,212,236,304,345,321,363,,,
1/3/2009,WEST,471,559,682,745,848,871,967,895,804,770,760,767,746,778,756,763,785,770,796,805,732,680,666,689,,,
1/4/2009,WEST,704,607,451,385,390,524,654,771,790,784,805,804,857,871,901,879,856,884,837,764,649,542,486,496,,,
1/5/2009,WEST,578,622,595,557,494,413,317,254,227,174,112,95,111,89,55,54,75,52,111,162,164,180,219,346,,,
1/6/2009,WEST,441,492,503,478,404,366,235,139,130,161,147,155,131,129,103,63,29,22,24,29,35,28,34,59,,,
1/7/2009,WEST,59,57,76,75,83,96,110,153,252,412,600,814,892,849,951,972,929,758,730,727,805,939,852,795,,,
1/8/2009,WEST,836,783,722,680,711,649,709,687,701,698,661,534,513,570,498,403,376,395,382,384,374,306,296,278,,,
1/9/2009,WEST,249,249,255,286,343,398,533,730,869,944,829,678,617,518,424,409,350,364,411,381,408,508,537,522,,,
1/10/2009,WEST,608,631,674,742,765,649,620,522,510,519,620,659,642,622,531,499,484,312,203,334,415,330,268,197,,,
1/11/2009,WEST,133,178,213,150,140,108,101,98,96,81,88,94,66,52,65,98,169,172,262,293,404,409,328,312,,,
1/12/2009,WEST,234,179,158,178,170,132,130,126,129,171,197,219,251,202,196,216,300,517,611,489,410,440,451,500,,,
1/13/2009,WEST,643,730,876,850,864,883,892,912,899,778,719,595,563,529,432,377,341,331,305,292,290,272,259,246,,,
1/14/2009,WEST,273,430,531,637,741,731,688,596,531,483,349,256,563,677,719,792,769,729,792,861,888,788,730,752,,,
1/15/2009,WEST,762,742,747,737,590,532,468,448,442,454,405,339,352,394,511,466,401,413,434,470,539,550,575,552,,,
1/16/2009,WEST,538,522,500,470,412,341,239,136,188,188,154,166,152,152,186,249,299,416,506,658,777,831,787,727,,,
1/17/2009,WEST,708,660,674,695,719,724,734,788,817,832,811,803,814,825,792,776,824,872,929,854,871,883,799,830,,,
1/18/2009,WEST,767,706,618,598,533,526,565,514,379,320,240,189,147,132,166,135,89,59,47,54,56,89,106,165,,,
1/19/2009,WEST,272,438,525,544,446,481,514,469,409,326,296,308,254,289,318,281,280,318,314,308,305,317,322,346,,,
1/20/2009,WEST,347,458,548,569,572,536,514,463,427,401,317,366,389,310,266,303,349,411,441,494,435,406,389,414,,,
1/21/2009,WEST,410,375,323,385,545,671,715,751,792,858,742,698,671,552,516,478,473,522,564,563,470,435,429,491,,,
1/22/2009,WEST,518,517,516,564,558,441,411,369,347,366,418,414,375,367,391,426,443,506,642,866,1007,1049,1054,1070,,,
1/23/2009,WEST,1071,1082,1034,948,967,925,826,796,766,860,921,978,911,861,870,829,889,963,897,902,1039,1074,1037,1044,,,
1/24/2009,WEST,1036,970,894,837,839,827,783,655,570,449,336,255,240,238,277,289,300,230,236,262,223,183,176,167,,,
1/25/2009,WEST,191,144,120,136,113,106,85,82,49,42,25,13,35,41,37,27,34,6,5,24,18,16,18,25,,,
1/26/2009,WEST,26,23,25,27,39,32,22,10,3,-1,-1,1,3,5,4,6,-1,11,20,5,3,3,21,4,,,
1/27/2009,WEST,57,57,68,123,164,194,187,177,151,118,60,45,37,49,93,143,153,185,179,183,164,124,95,103,,,
1/28/2009,WEST,106,159,206,213,271,312,300,291,275,247,193,110,182,272,366,351,187,288,498,685,798,897,926,936,,,
1/29/2009,WEST,879,855,783,775,729,663,670,704,768,739,567,520,567,719,791,867,891,932,957,887,807,846,873,800,,,
1/30/2009,WEST,739,671,652,753,849,811,782,719,643,576,440,387,341,338,335,333,319,319,312,335,389,464,516,568,,,
1/31/2009,WEST,454,358,388,479,587,781,903,953,1006,1015,965,1003,1040,1078,1042,989,988,943,1008,1028,1073,1077,993,986,,,
2/1/2009,WEST,1042,967,869,732,720,640,670,645,661,623,512,481,368,337,394,349,381,415,491,532,627,668,669,661,,,
2/2/2009,WEST,558,573,495,459,451,447,454,466,457,486,538,616,779,725,758,827,802,788,707,564,371,296,330,327,,,
2/3/2009,WEST,311,421,657,811,866,854,828,776,728,771,836,881,905,904,900,921,930,887,804,721,791,805,830,853,,,
