DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,
1/1/2008,WEST,33534,32632,31828,31565,31542,32133,32901,33626,34225,35177,36358,37082,37472,37590,37643,38136,39208,41730,43308,43309,42911,42159,41012,39638,,886718
1/2/2008,WEST,38422,37909,37855,38087,39042,41061,43656,46201,47408,47909,48046,47676,47274,46694,46544,46421,47172,49543,51335,51142,50393,49088,47201,44657,,1090737
1/3/2008,WEST,42841,41828,41397,41215,41972,43655,46179,48221,48598,48453,48058,47391,46773,46158,45520,45330,46118,48492,50569,50615,49998,48774,46876,44477,,1109506
1/4/2008,WEST,42806,41728,41109,41036,41768,43572,46054,47971,47940,47230,46362,45186,44223,43420,42778,42368,43038,44851,46016,45607,44984,43827,42071,39866,,1055812
1/5/2008,WEST,37974,36632,35904,35534,35518,36029,37128,38443,39481,40111,40242,40002,39579,39047,38593,38512,39138,40587,41042,40372,39604,38533,36908,35049,,919962
1/6/2008,WEST,33174,31904,31096,30760,30593,30669,31403,32468,33333,33999,34183,34224,34347,34154,33812,33765,34644,36501,37522,37190,36608,35387,33845,32181,,807763
1/7/2008,WEST,30774,29832,29480,29449,30201,32198,35396,38117,38513,38557,38512,38416,38145,37786,37630,37224,37642,39350,40513,40117,39030,37641,35623,33184,,863326
1/8/2008,WEST,31298,30123,29504,29536,30255,32196,35420,37927,38749,38756,38585,38252,37913,38012,37783,37658,38404,40071,40857,40426,39738,38273,36064,33589,,869388
1/9/2008,WEST,31475,30099,29668,29428,30232,32308,35529,38490,39149,39143,39212,39077,38782,38491,38029,37903,38539,40470,42341,42242,41805,40633,38677,36336,,888059
1/10/2008,WEST,34540,33651,33240,33301,34147,36081,39093,41643,42141,41957,41629,41188,40839,40641,40547,40642,41497,43024,43502,43020,42308,40565,38258,35648,,943100
1/11/2008,WEST,33583,32415,31761,31698,32235,34084,37151,39745,40818,41124,41351,41278,41113,40992,40747,40449,41040,42209,42543,41886,41067,39994,38166,35871,,923321
1/12/2008,WEST,33993,32943,32340,32173,32458,33371,34698,36496,37420,37827,37726,37268,36520,35757,35013,34721,35467,37153,38903,38854,38447,37675,36412,34874,,858508
1/13/2008,WEST,33368,32402,32048,31760,31929,32484,33374,34685,35556,36085,36276,36299,36382,36173,36069,36359,37355,39031,40162,40133,39846,38700,37249,35720,,859444
1/14/2008,WEST,34571,33971,33978,34122,35127,37320,40841,43635,44493,44706,44768,44653,44506,44468,44356,44303,45018,46467,47762,47291,46543,45228,43130,40714,,1011970
1/15/2008,WEST,38883,37920,37644,37516,38388,40405,43500,45803,46480,46313,46226,45700,45124,44688,44366,44267,44968,46626,48178,47916,47139,45761,43862,41482,,1049153
1/16/2008,WEST,39828,38866,38601,38661,39574,41560,44624,46951,47025,46421,45697,44586,43528,42768,42198,42208,43041,44600,46290,46054,45292,43951,41915,39449,,1033689
1/17/2008,WEST,37645,36495,35947,35939,36473,38464,41372,43731,44464,44617,44983,44762,44480,44213,43905,43855,44366,45501,46693,46403,45513,44044,42048,39826,,1015739
1/18/2008,WEST,37959,37076,36604,36672,37320,39237,42030,44494,45063,44932,44551,43810,43100,42400,41950,41636,42167,43853,45408,45339,44779,43918,42403,40328,,1007028
1/19/2008,WEST,38573,37484,36952,36710,37005,37759,39140,40830,41973,42688,43093,43013,42706,42273,41721,41554,42036,43625,45477,45675,45141,44415,43287,41896,,995028
1/20/2008,WEST,40699,40105,39910,40012,40409,41183,42354,43678,44471,44744,44499,44322,43975,43356,42904,42621,43426,45463,47960,47947,47729,46848,45797,44174,,1048585
1/21/2008,WEST,43210,42592,42337,42635,43164,44657,47010,48892,49573,49443,48872,47906,46867,45974,45166,44720,45332,47240,49179,49177,48373,47086,44826,42538,,1106771
1/22/2008,WEST,40750,39610,39047,38846,39453,41208,43995,46232,46816,46835,46560,46338,45957,45560,45144,44971,45503,46649,48254,48221,47416,46009,43842,41633,,1064851
1/23/2008,WEST,39878,39081,38867,38972,39893,41808,44869,47376,47578,47190,46768,46054,45314,44593,43968,43937,44645,46362,48591,48621,48171,47031,45081,42823,,1067473
1/24/2008,WEST,41188,40278,39866,39821,40635,42734,45689,48163,48479,48349,47937,47586,47208,46861,46557,46608,47189,48729,51101,51377,51139,49839,47895,45577,,1110804
1/25/2008,WEST,44091,43367,43194,43373,44252,46232,49121,51349,51465,50815,49527,48351,47162,46377,45514,44928,45510,46904,48469,48192,47428,46289,44307,41886,,1118104
1/26/2008,WEST,39909,38679,38078,37813,37881,38504,39520,41028,41990,42621,43001,42575,41981,41144,40692,40319,40645,41569,42959,42643,41991,41055,39742,38057,,974397
1/27/2008,WEST,36569,35423,35057,34755,34996,35499,36269,37607,38326,38815,38494,38257,37857,37334,36784,36665,37274,38916,41448,42082,41846,40894,39645,38145,,908958
1/28/2008,WEST,36982,36434,36301,36639,37587,39935,43040,45664,45663,44809,43925,43020,42176,41475,41077,41104,41718,43111,44879,44606,43839,42485,40276,37792,,994538
1/29/2008,WEST,35979,34876,34297,33936,34478,36239,39174,41556,42297,42291,42443,42293,42169,41854,41645,41596,42218,43325,44234,44086,43397,42126,40496,38186,,965191
1/30/2008,WEST,36819,36255,36283,36932,38037,40485,43877,46601,47089,46980,46750,46489,45782,45057,44496,44140,44576,46096,48573,48863,48280,47097,45174,42875,,1053606
1/31/2008,WEST,41231,40340,39908,39939,40893,42949,45935,47946,48030,47427,46924,46085,45439,44954,44513,44377,44784,45898,47634,47514,46613,45186,43051,40675,,1068244
2/1/2008,WEST,39018,37856,37512,37484,37807,39177,41276,43606,44271,44668,44884,44606,44336,43963,43767,43491,43648,44374,45494,45087,44231,42993,41229,39151,,1013927
2/2/2008,WEST,37304,36195,35633,35448,35739,36341,37655,39249,40340,41024,41156,40486,39636,38680,37548,37108,37386,38512,40438,40649,40294,39509,38470,37025,,921824
2/3/2008,WEST,35599,34757,34259,34156,34211,34740,35629,36762,37272,37401,37184,36701,36454,35923,35750,36008,36706,38068,39466,39383,39214,38480,37621,36018,,877764
2/4/2008,WEST,34622,33799,33289,33499,34054,36175,39162,41694,42340,42323,42338,42182,41854,41449,41098,40866,41026,41974,42990,42855,41825,40484,38257,35747,,945902
2/5/2008,WEST,33538,32362,31738,31559,32222,34196,37157,39626,40161,40357,40382,40267,40030,39873,39776,39619,40147,41032,42199,42291,41463,39961,37875,35540,,913372
2/6/2008,WEST,33633,32406,31767,31527,32072,33936,36858,39201,39995,40321,40718,40898,40851,40614,40136,39727,39831,40568,42252,42301,41546,40392,38480,36177,,916208
2/7/2008,WEST,34585,33656,33436,33531,34378,36437,39731,42229,42912,43079,43157,42962,42836,42526,42273,41991,42424,43260,44892,44894,44232,43050,41036,38690,,972199
2/8/2008,WEST,36902,35937,35577,35657,36267,38171,40883,43039,43363,43086,42667,42051,41429,40560,39933,39443,39598,40398,42095,42283,41828,41028,39414,37422,,959034
2/9/2008,WEST,35604,34421,33806,33404,33585,34269,35566,37073,37908,38567,38530,38134,37544,36822,36199,35815,36282,37393,39321,39702,39144,38540,37423,36036,,881088
2/10/2008,WEST,34725,33987,33700,33717,34103,34886,35742,37175,38305,39323,40102,40306,40626,40496,40468,40597,41508,43471,46245,47451,47248,46470,45082,43766,,959501
2/11/2008,WEST,42448,41997,41809,42004,42891,44825,47665,49871,50223,49917,49258,48492,47683,47082,46527,46374,46836,48054,49904,49952,49395,47986,45925,43545,,1120665
2/12/2008,WEST,41716,40724,40205,40216,40768,42416,44925,47048,47710,47967,48038,47909,47533,47057,46341,45865,45859,46406,47664,47485,46648,45208,43224,40693,,1079624
2/13/2008,WEST,39027,37990,37637,37761,38522,40241,43101,45359,46138,46294,46032,45636,45317,45051,44639,44464,44890,45848,47762,48146,47753,46777,44856,42765,,1052006
2/14/2008,WEST,41099,40112,39719,39859,40508,42526,45325,47333,47155,46281,45751,44830,43809,42998,42348,41942,42205,43263,45184,45802,45193,44026,42212,40060,,1039539
2/15/2008,WEST,38400,37379,37007,37110,37743,39476,42076,43987,44156,43770,43264,42795,42313,41803,41297,40890,40915,41503,43030,43421,42891,41982,40463,38447,,986118
2/16/2008,WEST,36971,36125,35683,35697,35938,36862,38138,39334,39876,39981,39549,38623,37649,36651,35725,35264,35291,36397,38385,39346,39041,38235,36970,35324,,897056
2/17/2008,WEST,33934,32995,32494,32171,32196,32474,33158,34324,35055,35827,36199,36240,36094,35664,35410,35039,35571,36372,37956,38266,37738,36698,35469,34020,,841364
2/18/2008,WEST,32650,32031,31646,31812,32536,34387,37019,39669,40822,42018,42575,42809,42870,42797,42478,42377,42678,43693,45762,46370,45962,44772,42917,40722,,963370
2/19/2008,WEST,39117,38370,38032,38300,39014,41253,44260,46289,46719,46700,46604,46218,45866,45577,45212,44890,45239,46442,48336,49166,48552,47349,45244,42794,,1065545
2/20/2008,WEST,40929,39959,39592,39438,40147,42246,44947,46760,47036,46758,46479,46055,45681,45363,45063,44679,44782,45861,47650,48752,48409,47318,45550,43198,,1072654
2/21/2008,WEST,41661,40937,40716,40844,41839,43877,46969,48737,48586,47890,47104,46393,45698,45087,44820,44757,45329,46322,47924,48387,47594,46053,43908,41542,,1082973
2/22/2008,WEST,39638,38393,37715,37571,37977,39429,41842,44135,45031,45455,45454,45267,44768,44214,43695,43182,43273,43595,44534,44610,43718,42498,40724,38559,,1015277
2/23/2008,WEST,36848,35560,34973,34687,34934,35598,36860,38419,39491,40473,40513,40099,39355,38639,37756,37412,37419,38182,39973,41173,40896,40274,38919,37557,,916009
2/24/2008,WEST,36109,35541,35155,35123,35456,36164,37075,37889,38307,38267,37695,37150,36760,36311,35931,35949,36475,37624,39505,40978,40676,39824,38353,36872,,895189
2/25/2008,WEST,35672,34969,34705,34842,35754,37916,40932,43103,43766,43850,43894,43575,43287,42904,42276,41940,42092,42984,44474,45031,44372,43160,41170,38691,,985357
2/26/2008,WEST,36960,35789,35335,35200,35862,37687,40490,42484,42960,43376,43687,43432,43226,42957,42788,42684,43054,44009,45482,46407,45702,44542,42694,40355,,997160
2/27/2008,WEST,38569,37737,37415,37530,38350,40470,43269,45169,45859,46108,45944,45544,45154,44796,44639,44588,44992,46062,47760,49017,48494,47296,45249,42965,,1052975
2/28/2008,WEST,41296,40389,40105,40287,41020,43068,45771,47368,47294,46699,46148,45454,44782,44067,43501,42982,43252,44371,46273,47709,47221,46178,44338,42105,,1061678
2/29/2008,WEST,40534,39805,39313,39062,39674,41230,43696,45244,45467,45156,44740,44213,43709,43274,42991,42597,42590,42830,43664,44029,43261,41804,39864,37868,,1016614
3/1/2008,WEST,36021,34826,34161,33944,34228,34902,36130,37459,38360,39022,38882,38594,37653,36935,36240,35873,36125,36761,38615,39891,39816,39082,37883,36334,,887735
3/2/2008,WEST,34852,33979,33605,33561,33731,34170,35186,35635,36178,36138,35500,34838,34325,33604,33049,32730,32720,33327,35387,37173,37157,36335,34940,33243,,831363
3/3/2008,WEST,32002,31533,31221,31171,31762,33748,37345,39605,39708,39827,39600,39282,38947,38928,38399,38039,38064,38557,40215,41289,41073,39744,37671,35286,,893014
3/4/2008,WEST,33445,32441,31915,31943,32474,34300,37614,40246,41112,41573,41799,41861,41708,41644,41209,41079,41308,41870,42853,43671,42906,41541,39515,37056,,937083
3/5/2008,WEST,35252,34180,33778,33738,34308,36197,39614,41574,42385,42574,42733,42430,42156,41852,41438,41037,41160,41682,43240,44492,44074,43053,40986,38614,,962546
3/6/2008,WEST,36816,35941,35442,35544,36158,37912,41303,43298,43432,42745,41924,41068,40334,39676,39110,38511,38433,38892,40630,42580,42619,41616,39635,37308,,950929
3/7/2008,WEST,35756,34819,34486,34436,34972,36704,40025,42049,42899,43302,43761,43750,43459,43274,42668,42196,42179,42549,43471,44333,43669,42600,40842,38641,,976841
3/8/2008,WEST,36755,35478,35032,34800,35017,35545,36652,37637,39251,40572,41151,41252,40941,40731,40269,39978,40295,40792,42143,43628,43275,42264,40687,39022,,943168
3/9/2008,WEST,37483,36647,,36297,36207,36475,37202,38274,38747,39053,39155,38857,38337,37534,36654,36053,35577,35533,36019,38215,40446,40325,39244,37576,,865913
3/10/2008,WEST,36132,35390,35446,35262,35690,37418,40707,43799,44511,44181,43596,42734,41960,40927,40262,39630,39377,39426,39883,41203,42633,41994,40187,37801,,960150
3/11/2008,WEST,35786,34764,34203,34254,34865,36586,39976,43008,43248,42896,42556,41745,41085,40469,39752,39009,38561,38460,38784,40258,42105,41653,40024,37839,,941884
3/12/2008,WEST,35773,34836,34514,34228,34415,36264,39750,42399,42713,42001,41359,40515,39817,39177,38559,37784,37367,37097,37293,38605,40770,40506,38980,36710,,921430
3/13/2008,WEST,34973,33958,33510,33491,33799,35602,38963,41888,42217,41441,40366,39208,38516,38018,37456,36798,36254,35959,35891,36942,38814,38181,36437,34056,,892736
3/14/2008,WEST,32093,30951,30511,30494,30912,32660,36025,39036,39674,39513,39320,38724,38379,37951,37750,37291,36978,36837,36701,37045,38058,37491,36157,33939,,864490
3/15/2008,WEST,32217,30937,30197,29965,30083,30760,32138,33832,35141,36209,36589,36361,35847,35261,34644,34209,34332,34450,34609,35694,36740,36327,35267,33616,,815425
3/16/2008,WEST,32103,31127,30422,30253,30404,30685,31772,33027,33783,34796,34761,34592,34495,34118,33703,33284,33623,33977,34382,35986,38171,38082,36822,35312,,809679
3/17/2008,WEST,33958,33507,33283,33447,34411,36381,39780,42769,43294,43017,42769,42134,41426,40716,40100,39608,39477,39817,40199,41410,42268,41321,39229,36694,,941018
3/18/2008,WEST,34606,33420,33002,32844,33134,34791,38107,40761,41416,41464,41483,41295,41053,40690,40202,39719,39577,39611,39754,40466,40996,39957,38031,35571,,921955
3/19/2008,WEST,33536,32141,31480,31271,31595,33052,36095,38857,39447,39482,39704,39814,39619,39452,39282,38893,38952,39235,39299,39588,40586,40156,38405,36106,,896045
3/20/2008,WEST,34267,33054,32605,32555,33076,34937,38265,40974,41484,41157,40881,40377,39838,39255,38591,37816,37221,36992,36955,38007,40097,39932,38532,36106,,902972
3/21/2008,WEST,34340,33211,32723,32564,32955,34281,36613,38577,39443,39636,39517,39059,38335,37471,36896,36275,35776,35687,35624,36413,37711,37010,35849,33854,,869822
3/22/2008,WEST,32190,31189,30517,30267,30420,31059,32252,33783,34928,36150,36635,36637,35955,35476,34765,34132,33901,33877,34232,35111,37006,36994,35998,34568,,818040
3/23/2008,WEST,33118,32058,31520,31438,31689,32220,33256,34310,35096,35250,34745,33916,33401,32419,31535,30778,30411,30792,31366,33002,35437,35878,35170,34070,,792874
3/24/2008,WEST,33052,32607,32533,32742,33312,35157,38405,41101,41850,42090,41694,41171,40757,40252,39708,39151,38958,38818,39001,40041,42040,41671,40012,37883,,924007
3/25/2008,WEST,36346,35404,35186,35063,35705,37478,40641,42989,43324,42727,42328,41621,40854,40100,39483,38759,38394,38246,38249,38963,40385,39700,37954,35620,,935518
3/26/2008,WEST,33786,32530,31862,31695,32094,33676,36616,38942,39103,38934,38768,38536,38101,37589,37116,36460,35996,35680,35790,36619,38466,37823,36069,33792,,866045
3/27/2008,WEST,31903,30878,30431,30245,30760,32435,35533,38233,38893,39474,39864,39822,39696,39492,39217,38847,39032,39152,39288,39747,40443,39624,37759,35312,,886081
3/28/2008,WEST,33297,32019,31376,31114,31602,33024,35798,38205,38986,39601,39844,39753,39471,39121,38523,37932,37570,37210,37110,37424,39042,38883,37569,35674,,880146
3/29/2008,WEST,33846,32620,32076,31912,32079,32960,34136,35521,36330,36978,37142,36771,35961,34985,33898,33236,32938,33005,33254,34249,35911,35777,34827,33259,,823671
3/30/2008,WEST,31745,30766,30228,30031,30238,30696,31462,32318,33503,34452,34843,34914,34808,34658,34113,33772,33859,34026,34638,35548,36936,36433,34929,33245,,802158
3/31/2008,WEST,31714,31038,30638,30572,31040,32761,36020,38841,39835,40181,40483,40193,40029,39557,38931,38316,37993,38154,37861,38289,39341,38330,36275,33716,,880110
4/1/2008,WEST,31703,30291,29534,29323,29688,31238,34344,37002,37694,38160,38508,38480,38362,38152,37684,37245,37026,37025,37192,37633,39185,38707,36975,34536,,855685
4/2/2008,WEST,32697,31671,31070,31020,31579,33243,36628,39212,39510,39377,39088,38459,37913,37529,36970,36337,35927,35662,35794,36456,38723,38802,37167,34909,,865741
4/3/2008,WEST,33103,31872,31418,31367,31792,33355,36879,39116,39600,39723,39688,39441,39095,38807,38396,38147,38349,38791,39291,39930,40783,40007,37942,35357,,892247
4/4/2008,WEST,33450,32215,31448,31280,31614,32973,35912,38453,39102,39305,39514,39208,38780,38204,37626,36873,36428,36152,35935,36084,37056,36640,35144,33069,,862464
4/5/2008,WEST,31017,29888,29127,28878,28949,29559,30726,32007,33161,33996,34122,34102,33506,32892,32137,31658,31383,31328,31464,31970,33551,33637,32358,30899,,762315
4/6/2008,WEST,29260,28265,27709,27511,27463,27964,28846,29543,30516,31329,31320,31372,31234,30848,30478,30261,30444,30572,30917,31484,33590,33630,32371,30655,,727583
4/7/2008,WEST,28933,28192,28074,28082,28601,30470,33928,36374,37312,37577,37818,37807,37533,37289,37065,36537,36253,35762,35813,36074,37808,37667,35434,32929,,829335
4/8/2008,WEST,30969,29805,29193,28924,29353,31146,34496,36805,37634,38021,38096,38078,37805,37771,37447,36853,36642,36659,36695,37112,38699,38036,35847,32998,,845084
