Natural Gas Futures Contract 4 Daily
http://www.eia.gov/beta/api/qb.cfm?sdid=NG.RNGC4.D
18:20:27 GMT-0500 (EST)
Source: Energy Information Administration
Day,Series ID: NG.RNGC4.D Dollars per Million Btu
11/3/2015,2.477
11/2/2015,2.466
10/30/2015,2.502
10/29/2015,2.43
10/28/2015,2.485
10/27/2015,2.551
10/26/2015,2.534
10/23/2015,2.646
10/22/2015,2.733
10/21/2015,2.762
10/20/2015,2.825
10/19/2015,2.818
10/16/2015,2.809
10/15/2015,2.838
10/14/2015,2.881
10/13/2015,2.869
10/9/2015,2.863
10/8/2015,2.855
10/7/2015,2.821
10/6/2015,2.818
10/5/2015,2.816
10/2/2015,2.808
10/1/2015,2.775
09/30/2015,2.842
09/29/2015,2.891
09/28/2015,2.951
09/25/2015,2.918
09/24/2015,2.958
09/23/2015,2.907
09/22/2015,2.905
09/21/2015,2.907
09/18/2015,2.941
09/17/2015,2.992
09/16/2015,3
09/15/2015,3.06
09/14/2015,3.077
09/11/2015,3.022
09/10/2015,3.024
09/9/2015,3.007
09/8/2015,3.049
09/4/2015,3.007
09/3/2015,3.042
09/2/2015,2.969
09/1/2015,3.017
08/31/2015,3.016
08/28/2015,3.048
08/27/2015,2.897
08/26/2015,2.932
08/25/2015,2.914
08/24/2015,2.89
08/21/2015,2.939
08/20/2015,3.026
08/19/2015,2.989
08/18/2015,3
08/17/2015,3.038
08/14/2015,3.098
08/13/2015,3.085
08/12/2015,3.193
08/11/2015,3.128
08/10/2015,3.131
08/7/2015,3.082
08/6/2015,3.081
08/5/2015,3.069
08/4/2015,3.098
08/3/2015,3.054
07/31/2015,3.042
07/30/2015,3.081
07/29/2015,2.999
07/28/2015,2.962
07/27/2015,2.929
07/24/2015,2.913
07/23/2015,2.955
07/22/2015,3.04
07/21/2015,3.025
07/20/2015,2.963
07/17/2015,2.998
07/16/2015,2.978
07/15/2015,3.022
07/14/2015,2.964
07/10/2015,2.919
07/9/2015,2.884
07/8/2015,2.85
07/7/2015,2.871
07/6/2015,2.906
07/2/2015,2.972
07/1/2015,2.932
06/30/2015,2.965
06/29/2015,2.947
06/26/2015,2.814
06/25/2015,2.905
06/24/2015,2.829
06/23/2015,2.796
06/22/2015,2.81
06/19/2015,2.884
06/18/2015,2.848
06/17/2015,2.927
06/16/2015,2.958
06/15/2015,2.954
06/12/2015,2.826
06/11/2015,2.9
06/10/2015,2.961
06/9/2015,2.922
06/8/2015,2.786
06/5/2015,2.671
06/4/2015,2.704
06/3/2015,2.713
06/2/2015,2.773
06/1/2015,2.728
05/29/2015,2.714
05/28/2015,2.778
05/27/2015,2.87
05/26/2015,2.87
05/22/2015,2.939
05/21/2015,3.017
05/20/2015,2.982
05/19/2015,3.013
05/18/2015,3.08
05/15/2015,3.085
05/14/2015,3.077
05/13/2015,3.008
05/12/2015,2.972
05/11/2015,2.876
05/8/2015,2.955
05/7/2015,2.823
05/6/2015,2.863
05/5/2015,2.87
05/4/2015,2.905
05/1/2015,2.856
04/30/2015,2.828
04/29/2015,2.694
04/28/2015,2.617
04/27/2015,2.597
04/24/2015,2.656
04/23/2015,2.66
04/22/2015,2.746
04/21/2015,2.711
04/20/2015,2.667
04/17/2015,2.76
04/16/2015,2.801
04/15/2015,2.725
04/14/2015,2.651
04/13/2015,2.629
04/10/2015,2.644
04/9/2015,2.667
04/8/2015,2.756
04/7/2015,2.815
04/6/2015,2.787
04/2/2015,2.847
04/1/2015,2.747
