Historical Hourly Wind Generation

Published Date: 1/1/2011
Reporting Period: 1/1/2010 through 12/31/2010

All Hours Ending are Eastern Standard Time (EST)

MKTHOUR,MWh
01/01/10 12:00 AM,3189.35
01/01/10 01:00 AM,2890.63
01/01/10 02:00 AM,2582.51
01/01/10 03:00 AM,2522.01
01/01/10 04:00 AM,2307.55
01/01/10 05:00 AM,1952.29
01/01/10 06:00 AM,1856.43
01/01/10 07:00 AM,1774.56
01/01/10 08:00 AM,1770.79
01/01/10 09:00 AM,1794.30
01/01/10 10:00 AM,1906.72
01/01/10 11:00 AM,2064.15
01/01/10 12:00 PM,2260.75
01/01/10 01:00 PM,2599.35
01/01/10 02:00 PM,2605.61
01/01/10 03:00 PM,2505.15
01/01/10 04:00 PM,2520.62
01/01/10 05:00 PM,2673.08
01/01/10 06:00 PM,2880.04
01/01/10 07:00 PM,3168.00
01/01/10 08:00 PM,3540.66
01/01/10 09:00 PM,3758.19
01/01/10 10:00 PM,3661.09
01/01/10 11:00 PM,3079.76
01/02/10 12:00 AM,2932.45
01/02/10 01:00 AM,2793.96
01/02/10 02:00 AM,2819.66
01/02/10 03:00 AM,3154.55
01/02/10 04:00 AM,2781.17
01/02/10 05:00 AM,2295.38
01/02/10 06:00 AM,2132.45
01/02/10 07:00 AM,2009.22
01/02/10 08:00 AM,1904.52
01/02/10 09:00 AM,1696.69
01/02/10 10:00 AM,1438.11
01/02/10 11:00 AM,1140.45
01/02/10 12:00 PM,903.69
01/02/10 01:00 PM,887.58
01/02/10 02:00 PM,776.59
01/02/10 03:00 PM,693.92
01/02/10 04:00 PM,860.07
01/02/10 05:00 PM,917.81
01/02/10 06:00 PM,1020.10
01/02/10 07:00 PM,1271.40
01/02/10 08:00 PM,1200.60
01/02/10 09:00 PM,1313.35
01/02/10 10:00 PM,1444.17
01/02/10 11:00 PM,1602.29
01/03/10 12:00 AM,1636.08
01/03/10 01:00 AM,1810.71
01/03/10 02:00 AM,1758.68
01/03/10 03:00 AM,1699.44
01/03/10 04:00 AM,1575.81
01/03/10 05:00 AM,1429.07
01/03/10 06:00 AM,1250.69
01/03/10 07:00 AM,1004.86
01/03/10 08:00 AM,1003.32
01/03/10 09:00 AM,953.39
01/03/10 10:00 AM,886.71
01/03/10 11:00 AM,753.49
01/03/10 12:00 PM,672.57
01/03/10 01:00 PM,524.75
01/03/10 02:00 PM,438.27
01/03/10 03:00 PM,402.76
01/03/10 04:00 PM,391.97
01/03/10 05:00 PM,484.12
01/03/10 06:00 PM,670.95
01/03/10 07:00 PM,1019.10
01/03/10 08:00 PM,1340.20
01/03/10 09:00 PM,1612.46
01/03/10 10:00 PM,1735.70
01/03/10 11:00 PM,1825.51
01/04/10 12:00 AM,1841.71
01/04/10 01:00 AM,1897.12
01/04/10 02:00 AM,1735.99
01/04/10 03:00 AM,1730.88
01/04/10 04:00 AM,1726.47
01/04/10 05:00 AM,1623.72
01/04/10 06:00 AM,1765.44
01/04/10 07:00 AM,1696.54
01/04/10 08:00 AM,1611.57
01/04/10 09:00 AM,1563.82
01/04/10 10:00 AM,1280.13
01/04/10 11:00 AM,1179.92
01/04/10 12:00 PM,1105.60
01/04/10 01:00 PM,1032.90
01/04/10 02:00 PM,1013.43
01/04/10 03:00 PM,1123.10
01/04/10 04:00 PM,1295.71
01/04/10 05:00 PM,1458.00
01/04/10 06:00 PM,1770.98
01/04/10 07:00 PM,1985.30
01/04/10 08:00 PM,2065.06
01/04/10 09:00 PM,2226.27
01/04/10 10:00 PM,2352.57
01/04/10 11:00 PM,2409.37
01/05/10 12:00 AM,2396.88
01/05/10 01:00 AM,2328.38
01/05/10 02:00 AM,2205.59
01/05/10 03:00 AM,2067.63
01/05/10 04:00 AM,1843.40
01/05/10 05:00 AM,1640.09
01/05/10 06:00 AM,1589.50
01/05/10 07:00 AM,1607.14
01/05/10 08:00 AM,1512.39
01/05/10 09:00 AM,1468.55
01/05/10 10:00 AM,1274.89
01/05/10 11:00 AM,1130.40
01/05/10 12:00 PM,932.95
01/05/10 01:00 PM,768.23
01/05/10 02:00 PM,590.07
01/05/10 03:00 PM,484.52
01/05/10 04:00 PM,489.42
01/05/10 05:00 PM,459.08
01/05/10 06:00 PM,468.12
01/05/10 07:00 PM,563.73
01/05/10 08:00 PM,596.21
01/05/10 09:00 PM,574.22
01/05/10 10:00 PM,589.94
01/05/10 11:00 PM,656.85
01/06/10 12:00 AM,753.88
01/06/10 01:00 AM,674.19
01/06/10 02:00 AM,620.56
01/06/10 03:00 AM,483.46
01/06/10 04:00 AM,492.28
01/06/10 05:00 AM,593.16
01/06/10 06:00 AM,613.17
01/06/10 07:00 AM,734.51
01/06/10 08:00 AM,780.41
01/06/10 09:00 AM,857.65
01/06/10 10:00 AM,901.40
01/06/10 11:00 AM,962.96
01/06/10 12:00 PM,980.27
01/06/10 01:00 PM,952.58
01/06/10 02:00 PM,1002.01
01/06/10 03:00 PM,943.75
01/06/10 04:00 PM,891.22
01/06/10 05:00 PM,913.44
01/06/10 06:00 PM,971.79
01/06/10 07:00 PM,1129.45
01/06/10 08:00 PM,1387.98
01/06/10 09:00 PM,1845.15
01/06/10 10:00 PM,2209.00
01/06/10 11:00 PM,2444.34
01/07/10 12:00 AM,2549.72
01/07/10 01:00 AM,2724.11
01/07/10 02:00 AM,3090.67
01/07/10 03:00 AM,3547.01
01/07/10 04:00 AM,4013.10
01/07/10 05:00 AM,4375.07
01/07/10 06:00 AM,4644.49
01/07/10 07:00 AM,4689.09
01/07/10 08:00 AM,5012.03
01/07/10 09:00 AM,5204.39
01/07/10 10:00 AM,5206.97
01/07/10 11:00 AM,5196.44
01/07/10 12:00 PM,5227.48
01/07/10 01:00 PM,5287.00
01/07/10 02:00 PM,5281.18
01/07/10 03:00 PM,5287.29
01/07/10 04:00 PM,5350.82
01/07/10 05:00 PM,5316.06
01/07/10 06:00 PM,5302.01
01/07/10 07:00 PM,5360.80
01/07/10 08:00 PM,5318.01
01/07/10 09:00 PM,5386.09
01/07/10 10:00 PM,5298.71
01/07/10 11:00 PM,5125.82
01/08/10 12:00 AM,4966.57
01/08/10 01:00 AM,4697.19
01/08/10 02:00 AM,4493.99
01/08/10 03:00 AM,4475.17
01/08/10 04:00 AM,4234.81
01/08/10 05:00 AM,3952.13
01/08/10 06:00 AM,3696.45
01/08/10 07:00 AM,3382.91
01/08/10 08:00 AM,3227.70
01/08/10 09:00 AM,2964.80
01/08/10 10:00 AM,2793.86
01/08/10 11:00 AM,2458.29
01/08/10 12:00 PM,2120.72
01/08/10 01:00 PM,1871.16
01/08/10 02:00 PM,1656.12
01/08/10 03:00 PM,1389.12
01/08/10 04:00 PM,1232.75
01/08/10 05:00 PM,1247.13
01/08/10 06:00 PM,1453.14
01/08/10 07:00 PM,1717.03
01/08/10 08:00 PM,1866.17
01/08/10 09:00 PM,1813.86
01/08/10 10:00 PM,1792.10
01/08/10 11:00 PM,1811.81
01/09/10 12:00 AM,1801.92
01/09/10 01:00 AM,1811.87
01/09/10 02:00 AM,1834.65
01/09/10 03:00 AM,1742.92
01/09/10 04:00 AM,1483.55
01/09/10 05:00 AM,1357.89
01/09/10 06:00 AM,1337.17
01/09/10 07:00 AM,1288.96
01/09/10 08:00 AM,1275.79
01/09/10 09:00 AM,1255.31
01/09/10 10:00 AM,1197.70
01/09/10 11:00 AM,1212.00
01/09/10 12:00 PM,1284.13
01/09/10 01:00 PM,1406.81
01/09/10 02:00 PM,1493.55
01/09/10 03:00 PM,1665.42
01/09/10 04:00 PM,1742.15
01/09/10 05:00 PM,1820.71
01/09/10 06:00 PM,2032.40
01/09/10 07:00 PM,2371.25
01/09/10 08:00 PM,2777.69
01/09/10 09:00 PM,3172.44
01/09/10 10:00 PM,3674.69
01/09/10 11:00 PM,4170.39
01/10/10 12:00 AM,4635.00
01/10/10 01:00 AM,4833.83
01/10/10 02:00 AM,4947.30
01/10/10 03:00 AM,4927.54
01/10/10 04:00 AM,5004.92
01/10/10 05:00 AM,4987.97
01/10/10 06:00 AM,5067.48
01/10/10 07:00 AM,5278.04
01/10/10 08:00 AM,5173.41
01/10/10 09:00 AM,5126.36
01/10/10 10:00 AM,5219.47
01/10/10 11:00 AM,5263.53
01/10/10 12:00 PM,5317.40
01/10/10 01:00 PM,5063.49
01/10/10 02:00 PM,4588.09
01/10/10 03:00 PM,4333.24
01/10/10 04:00 PM,3922.31
01/10/10 05:00 PM,3988.83
01/10/10 06:00 PM,3908.34
01/10/10 07:00 PM,3730.41
01/10/10 08:00 PM,3643.90
01/10/10 09:00 PM,3566.09
01/10/10 10:00 PM,3410.69
01/10/10 11:00 PM,3405.62
01/11/10 12:00 AM,3428.48
01/11/10 01:00 AM,3304.43
01/11/10 02:00 AM,3318.50
01/11/10 03:00 AM,3280.21
01/11/10 04:00 AM,3202.25
01/11/10 05:00 AM,3396.53
01/11/10 06:00 AM,3489.82
01/11/10 07:00 AM,3488.19
01/11/10 08:00 AM,3536.49
01/11/10 09:00 AM,3175.60
01/11/10 10:00 AM,2750.87
01/11/10 11:00 AM,2413.17
01/11/10 12:00 PM,2236.39
01/11/10 01:00 PM,1905.86
01/11/10 02:00 PM,1308.21
01/11/10 03:00 PM,1276.59
01/11/10 04:00 PM,1184.52
01/11/10 05:00 PM,1296.45
01/11/10 06:00 PM,1569.89
01/11/10 07:00 PM,1651.81
01/11/10 08:00 PM,1493.70
01/11/10 09:00 PM,1355.81
01/11/10 10:00 PM,1219.95
01/11/10 11:00 PM,1087.09
01/12/10 12:00 AM,1005.23
01/12/10 01:00 AM,1020.57
01/12/10 02:00 AM,1145.13
01/12/10 03:00 AM,1392.03
01/12/10 04:00 AM,1619.06
01/12/10 05:00 AM,1772.35
01/12/10 06:00 AM,1875.51
01/12/10 07:00 AM,2043.67
01/12/10 08:00 AM,2270.13
01/12/10 09:00 AM,2486.81
01/12/10 10:00 AM,2632.30
01/12/10 11:00 AM,2668.68
01/12/10 12:00 PM,2727.92
01/12/10 01:00 PM,2976.67
01/12/10 02:00 PM,3483.34
01/12/10 03:00 PM,3751.07
01/12/10 04:00 PM,4045.12
01/12/10 05:00 PM,4354.46
01/12/10 06:00 PM,4680.23
01/12/10 07:00 PM,4838.56
01/12/10 08:00 PM,4902.94
01/12/10 09:00 PM,4889.95
01/12/10 10:00 PM,4746.69
01/12/10 11:00 PM,4810.96
01/13/10 12:00 AM,4858.54
01/13/10 01:00 AM,4754.07
01/13/10 02:00 AM,4617.44
01/13/10 03:00 AM,4431.90
01/13/10 04:00 AM,4431.25
01/13/10 05:00 AM,4449.56
01/13/10 06:00 AM,4355.82
01/13/10 07:00 AM,4572.36
01/13/10 08:00 AM,4510.77
01/13/10 09:00 AM,4478.28
01/13/10 10:00 AM,4506.50
01/13/10 11:00 AM,4521.54
01/13/10 12:00 PM,4388.30
01/13/10 01:00 PM,4138.45
01/13/10 02:00 PM,3985.30
01/13/10 03:00 PM,3860.21
01/13/10 04:00 PM,3779.32
01/13/10 05:00 PM,3964.41
01/13/10 06:00 PM,4291.60
01/13/10 07:00 PM,4872.66
01/13/10 08:00 PM,5174.67
01/13/10 09:00 PM,5269.25
01/13/10 10:00 PM,5277.36
01/13/10 11:00 PM,5179.92
01/14/10 12:00 AM,5078.54
01/14/10 01:00 AM,4854.12
01/14/10 02:00 AM,4631.93
01/14/10 03:00 AM,4369.72
01/14/10 04:00 AM,4108.04
01/14/10 05:00 AM,3846.92
01/14/10 06:00 AM,3485.86
01/14/10 07:00 AM,3302.96
01/14/10 08:00 AM,3111.22
01/14/10 09:00 AM,3060.60
01/14/10 10:00 AM,2894.68
01/14/10 11:00 AM,2820.02
01/14/10 12:00 PM,2494.90
01/14/10 01:00 PM,2188.37
01/14/10 02:00 PM,2028.03
01/14/10 03:00 PM,2115.13
01/14/10 04:00 PM,2334.49
01/14/10 05:00 PM,2406.82
01/14/10 06:00 PM,2553.86
01/14/10 07:00 PM,2626.33
01/14/10 08:00 PM,2592.85
01/14/10 09:00 PM,2308.14
01/14/10 10:00 PM,2018.93
01/14/10 11:00 PM,1666.02
01/15/10 12:00 AM,1407.72
01/15/10 01:00 AM,1212.23
01/15/10 02:00 AM,1074.61
01/15/10 03:00 AM,988.33
01/15/10 04:00 AM,959.73
01/15/10 05:00 AM,891.68
01/15/10 06:00 AM,898.71
01/15/10 07:00 AM,950.46
01/15/10 08:00 AM,949.42
01/15/10 09:00 AM,1002.97
01/15/10 10:00 AM,1057.19
01/15/10 11:00 AM,1073.51
01/15/10 12:00 PM,1075.28
01/15/10 01:00 PM,1171.99
01/15/10 02:00 PM,1441.43
01/15/10 03:00 PM,1733.82
01/15/10 04:00 PM,1680.15
01/15/10 05:00 PM,1486.49
01/15/10 06:00 PM,1610.76
01/15/10 07:00 PM,2012.51
01/15/10 08:00 PM,2641.88
01/15/10 09:00 PM,2968.89
01/15/10 10:00 PM,2994.43
01/15/10 11:00 PM,2980.93
01/16/10 12:00 AM,2981.44
01/16/10 01:00 AM,2871.22
01/16/10 02:00 AM,2859.80
01/16/10 03:00 AM,2987.25
01/16/10 04:00 AM,2939.36
01/16/10 05:00 AM,2905.97
01/16/10 06:00 AM,3161.98
01/16/10 07:00 AM,3263.19
01/16/10 08:00 AM,3343.79
01/16/10 09:00 AM,3517.05
01/16/10 10:00 AM,3403.83
01/16/10 11:00 AM,3646.94
01/16/10 12:00 PM,3689.89
01/16/10 01:00 PM,3761.51
01/16/10 02:00 PM,3841.02
01/16/10 03:00 PM,3717.39
01/16/10 04:00 PM,3798.74
01/16/10 05:00 PM,4034.92
01/16/10 06:00 PM,4067.48
01/16/10 07:00 PM,3809.05
01/16/10 08:00 PM,3855.09
01/16/10 09:00 PM,3944.58
01/16/10 10:00 PM,3947.56
01/16/10 11:00 PM,3743.81
