Historical Hourly Wind Generation,,
,,
Published Date: 9/30/2014,,
Reporting Period: 1/1/2012 through 12/31/2012,,
,,
All Hours Ending are Eastern Standard Time (EST),,
,,
Market Day,Hour Ending,MWh
1/1/12,1,6773.14
1/1/12,2,6922.8
1/1/12,3,6920.05
1/1/12,4,6656.43
1/1/12,5,6257.19
1/1/12,6,6152.73
1/1/12,7,6849.32
1/1/12,8,7255.22
1/1/12,9,7664.53
1/1/12,10,7683.45
1/1/12,11,7831.32
1/1/12,12,8006.14
1/1/12,13,8020.49
1/1/12,14,8332.47
1/1/12,15,8387.21
1/1/12,16,8476.6
1/1/12,17,8422.14
1/1/12,18,8522.43
1/1/12,19,8290.3
1/1/12,20,8258.97
1/1/12,21,8392.65
1/1/12,22,8327.42
1/1/12,23,8311.57
1/1/12,24,8336.34
1/2/12,1,7743.56
1/2/12,2,7763.72
1/2/12,3,7270.38
1/2/12,4,7204.36
1/2/12,5,7029.89
1/2/12,6,7015.28
1/2/12,7,6884.89
1/2/12,8,7716.5
1/2/12,9,7550.6
1/2/12,10,7375.25
1/2/12,11,7313.91
1/2/12,12,7242.61
1/2/12,13,6977.61
1/2/12,14,6581.75
1/2/12,15,6281.69
1/2/12,16,5868.48
1/2/12,17,5274.2
1/2/12,18,4400.81
1/2/12,19,3813.57
1/2/12,20,3655.06
1/2/12,21,3590.66
1/2/12,22,3344.76
1/2/12,23,2868.82
1/2/12,24,2424.12
1/3/12,1,2234
1/3/12,2,2542.13
1/3/12,3,3079.15
1/3/12,4,3495.14
1/3/12,5,4189.59
1/3/12,6,4850.75
1/3/12,7,5454.26
1/3/12,8,5955.84
1/3/12,9,6377.55
1/3/12,10,6689.38
1/3/12,11,6484.38
1/3/12,12,6520.9
1/3/12,13,6657.02
1/3/12,14,6627.62
1/3/12,15,6091.98
1/3/12,16,5314.94
1/3/12,17,4572.78
1/3/12,18,4207.12
1/3/12,19,4633.23
1/3/12,20,5606.16
1/3/12,21,5598.04
1/3/12,22,6096.17
1/3/12,23,6309.1
1/3/12,24,6145.84
1/4/12,1,6022.86
1/4/12,2,6549.5
1/4/12,3,6812.87
1/4/12,4,6876.05
1/4/12,5,6780.72
1/4/12,6,6390.23
1/4/12,7,6326.33
1/4/12,8,5761.26
1/4/12,9,5418.63
1/4/12,10,4628
1/4/12,11,3704.73
1/4/12,12,2822.85
1/4/12,13,2362.59
1/4/12,14,2419.63
1/4/12,15,2567.52
1/4/12,16,2710.16
1/4/12,17,2831.48
1/4/12,18,3317.89
1/4/12,19,4460
1/4/12,20,5153.51
1/4/12,21,5563.46
1/4/12,22,5546.14
1/4/12,23,5212.64
1/4/12,24,4682.85
1/5/12,1,4535.38
1/5/12,2,4373.03
1/5/12,3,3859.13
1/5/12,4,3164.9
1/5/12,5,2744.2
1/5/12,6,2534.3
1/5/12,7,2726.51
1/5/12,8,3644
1/5/12,9,4536.03
1/5/12,10,5170.47
1/5/12,11,5044.92
1/5/12,12,4603.28
1/5/12,13,4231.96
1/5/12,14,4396.73
1/5/12,15,3939.12
1/5/12,16,3883.38
1/5/12,17,4187.48
1/5/12,18,4958.65
1/5/12,19,6041.03
1/5/12,20,6776.92
1/5/12,21,6974.95
1/5/12,22,7013.99
1/5/12,23,6749.47
1/5/12,24,6334.83
1/6/12,1,5838.34
1/6/12,2,5763.51
1/6/12,3,5622.87
1/6/12,4,5867.49
1/6/12,5,5895.01
1/6/12,6,6011.33
1/6/12,7,6013.62
1/6/12,8,6189.48
1/6/12,9,6021.77
1/6/12,10,5262.09
1/6/12,11,5222.71
1/6/12,12,4944.75
1/6/12,13,5102.9
1/6/12,14,5087.39
1/6/12,15,5040.12
1/6/12,16,4749.36
1/6/12,17,5001.94
1/6/12,18,5331.24
1/6/12,19,5635.03
1/6/12,20,6690.75
1/6/12,21,6957.75
1/6/12,22,6935.36
1/6/12,23,6878.11
1/6/12,24,6502.53
1/7/12,1,6224.02
1/7/12,2,5959.6
1/7/12,3,5748.53
1/7/12,4,5377.84
1/7/12,5,4979.57
1/7/12,6,4478.39
1/7/12,7,4243.74
1/7/12,8,3706.45
1/7/12,9,3207.02
1/7/12,10,2725.49
1/7/12,11,2029.54
1/7/12,12,1567.68
1/7/12,13,1317.7
1/7/12,14,1323.54
1/7/12,15,1270.41
1/7/12,16,1197.06
1/7/12,17,991.85
1/7/12,18,778.2
1/7/12,19,737.19
1/7/12,20,855.97
1/7/12,21,1057.81
1/7/12,22,1021.05
1/7/12,23,1019.75
1/7/12,24,1048.76
1/8/12,1,933.59
1/8/12,2,832.65
1/8/12,3,600.36
1/8/12,4,406.26
1/8/12,5,297.13
1/8/12,6,254.77
1/8/12,7,383.32
1/8/12,8,568.41
1/8/12,9,874.69
1/8/12,10,1273.83
1/8/12,11,1293.26
1/8/12,12,940.29
1/8/12,13,809.3
1/8/12,14,1106.71
1/8/12,15,1419.13
1/8/12,16,1700.03
1/8/12,17,1866.73
1/8/12,18,2023.89
1/8/12,19,2830.78
1/8/12,20,3993.43
1/8/12,21,4750.02
1/8/12,22,5372.94
1/8/12,23,5799.7
1/8/12,24,6027.4
1/9/12,1,5686.65
1/9/12,2,6056.31
1/9/12,3,6158.22
1/9/12,4,6246.61
1/9/12,5,6369.63
1/9/12,6,5947.18
1/9/12,7,6606.13
1/9/12,8,7215.23
1/9/12,9,7312.24
1/9/12,10,6913.38
1/9/12,11,6085.86
1/9/12,12,5436.22
1/9/12,13,4914.9
1/9/12,14,4765.96
1/9/12,15,4635.34
1/9/12,16,4421.38
1/9/12,17,3967.6
1/9/12,18,3682.43
1/9/12,19,4189.18
1/9/12,20,4617.1
1/9/12,21,4701.89
1/9/12,22,4652.86
1/9/12,23,4262.97
1/9/12,24,4047.17
1/10/12,1,3864.01
1/10/12,2,3567.4
1/10/12,3,3289.16
1/10/12,4,2660.41
1/10/12,5,2213.96
1/10/12,6,1797.78
1/10/12,7,1688.44
1/10/12,8,2029.64
1/10/12,9,2596.57
1/10/12,10,3776.54
1/10/12,11,3921.49
1/10/12,12,2930.85
1/10/12,13,2531.36
1/10/12,14,2757.01
1/10/12,15,2733.69
1/10/12,16,2204.03
1/10/12,17,1675.72
1/10/12,18,1848.76
1/10/12,19,2745.59
1/10/12,20,3648.68
1/10/12,21,4346.88
1/10/12,22,4794.23
1/10/12,23,5153.34
1/10/12,24,5188.95
1/11/12,1,5040.8
1/11/12,2,4948.17
1/11/12,3,4916.62
1/11/12,4,4807.28
1/11/12,5,4702.68
1/11/12,6,4505.02
1/11/12,7,4159.56
1/11/12,8,4149.96
1/11/12,9,4628.1
1/11/12,10,5309.23
1/11/12,11,5769.99
1/11/12,12,6274.95
1/11/12,13,6700.43
1/11/12,14,6936.03
1/11/12,15,6988.93
1/11/12,16,7133.93
1/11/12,17,7227.51
1/11/12,18,7308.97
1/11/12,19,7307.04
1/11/12,20,7256.65
1/11/12,21,7218.36
1/11/12,22,7434.29
1/11/12,23,7388.24
1/11/12,24,7397.96
1/12/12,1,7106.07
1/12/12,2,7241.51
1/12/12,3,7383.4
1/12/12,4,7459.87
1/12/12,5,7532.93
1/12/12,6,7417.88
1/12/12,7,7571.24
1/12/12,8,7729.89
1/12/12,9,7726.01
1/12/12,10,7586.76
1/12/12,11,7610.38
1/12/12,12,7369.21
1/12/12,13,7355.33
1/12/12,14,7356.27
1/12/12,15,7586.03
1/12/12,16,7588.18
1/12/12,17,7644.77
1/12/12,18,7561.52
1/12/12,19,7444.63
1/12/12,20,7449
1/12/12,21,7407.47
1/12/12,22,7369.86
1/12/12,23,7177.07
1/12/12,24,6948.73
1/13/12,1,6586.12
1/13/12,2,6108.07
1/13/12,3,5549.94
1/13/12,4,4999.17
1/13/12,5,4613.7
1/13/12,6,4470.35
1/13/12,7,4050.99
1/13/12,8,3718.08
1/13/12,9,3371.3
1/13/12,10,2745.43
1/13/12,11,2111.14
1/13/12,12,1748.05
1/13/12,13,1362.87
1/13/12,14,1378.89
1/13/12,15,1516.33
1/13/12,16,1506.04
1/13/12,17,1346.34
1/13/12,18,1136.71
1/13/12,19,1093.63
1/13/12,20,1108.52
1/13/12,21,1112.47
1/13/12,22,1123.27
1/13/12,23,1123.29
1/13/12,24,1066.7
1/14/12,1,1015.82
1/14/12,2,1051.49
1/14/12,3,927.12
1/14/12,4,935.06
1/14/12,5,988.71
1/14/12,6,1110.02
1/14/12,7,1248.73
1/14/12,8,1194.9
1/14/12,9,1268.07
1/14/12,10,1425.19
1/14/12,11,1419.46
1/14/12,12,1312.42
1/14/12,13,1569.53
1/14/12,14,1723.32
1/14/12,15,1986.61
1/14/12,16,2173.21
1/14/12,17,2078.99
1/14/12,18,1548.16
1/14/12,19,1093.91
1/14/12,20,860.18
1/14/12,21,901.76
1/14/12,22,969.32
1/14/12,23,1221.27
1/14/12,24,1267.9
1/15/12,1,1535.79
1/15/12,2,2168.23
1/15/12,3,2998.28
1/15/12,4,3728.65
1/15/12,5,4398.42
1/15/12,6,5066.05
1/15/12,7,5589.35
1/15/12,8,5785.05
1/15/12,9,6181.51
1/15/12,10,6742.57
1/15/12,11,6780.03
1/15/12,12,6668.02
1/15/12,13,6851.49
1/15/12,14,6899.23
1/15/12,15,6730.66
1/15/12,16,6535.14
1/15/12,17,6290
1/15/12,18,6210.47
1/15/12,19,6821.36
1/15/12,20,7032.56
1/15/12,21,7097.06
1/15/12,22,7104.66
1/15/12,23,6944.16
1/15/12,24,6911.11
1/16/12,1,6264.41
1/16/12,2,6431.57
1/16/12,3,6049.8
1/16/12,4,6023.32
