Historical Hourly Wind Generation

Published Date: 9/30/2014
Reporting Period: 1/1/2013 through 12/31/2013

All Hours Ending are Eastern Standard Time (EST)

Market Day	,Hour Ending,MWh
01/01/2013,1,1909.66
01/01/2013,2,1805.82
01/01/2013,3,1686.54
01/01/2013,4,1534.07
01/01/2013,5,1308.42
01/01/2013,6,1191.50
01/01/2013,7,1291.02
01/01/2013,8,1209.55
01/01/2013,9,1042.30
01/01/2013,10,869.30
01/01/2013,11,714.90
01/01/2013,12,682.14
01/01/2013,13,955.05
01/01/2013,14,1372.34
01/01/2013,15,1751.62
01/01/2013,16,1951.42
01/01/2013,17,2042.52
01/01/2013,18,2364.75
01/01/2013,19,2747.89
01/01/2013,20,3420.18
01/01/2013,21,3996.53
01/01/2013,22,4299.53
01/01/2013,23,4387.59
01/01/2013,24,4362.09
01/02/2013,1,4324.11
01/02/2013,2,4359.68
01/02/2013,3,4394.88
01/02/2013,4,4307.51
01/02/2013,5,4113.76
01/02/2013,6,3692.15
01/02/2013,7,3618.14
01/02/2013,8,3516.66
01/02/2013,9,3538.11
01/02/2013,10,3333.18
01/02/2013,11,2769.37
01/02/2013,12,2420.55
01/02/2013,13,2308.15
01/02/2013,14,2458.80
01/02/2013,15,2570.22
01/02/2013,16,2787.19
01/02/2013,17,3007.59
01/02/2013,18,2834.45
01/02/2013,19,2964.52
01/02/2013,20,3365.39
01/02/2013,21,3458.98
01/02/2013,22,3754.81
01/02/2013,23,4157.62
01/02/2013,24,4434.32
01/03/2013,1,4800.76
01/03/2013,2,5023.76
01/03/2013,3,5196.18
01/03/2013,4,5267.83
01/03/2013,5,5457.23
01/03/2013,6,5504.11
01/03/2013,7,6129.71
01/03/2013,8,6138.16
01/03/2013,9,6065.03
01/03/2013,10,5710.69
01/03/2013,11,5249.31
01/03/2013,12,5094.36
01/03/2013,13,4834.31
01/03/2013,14,4793.41
01/03/2013,15,4554.73
01/03/2013,16,4474.38
01/03/2013,17,4298.77
01/03/2013,18,4490.12
01/03/2013,19,5090.02
01/03/2013,20,5922.88
01/03/2013,21,6667.51
01/03/2013,22,7314.71
01/03/2013,23,8151.27
01/03/2013,24,8877.49
01/04/2013,1,9153.72
01/04/2013,2,9342.93
01/04/2013,3,9259.91
01/04/2013,4,9207.35
01/04/2013,5,9174.83
01/04/2013,6,9309.10
01/04/2013,7,9234.56
01/04/2013,8,8996.38
01/04/2013,9,9085.39
01/04/2013,10,8630.83
01/04/2013,11,7204.80
01/04/2013,12,5776.61
01/04/2013,13,4722.89
01/04/2013,14,4129.59
01/04/2013,15,3440.35
01/04/2013,16,3032.24
01/04/2013,17,2789.55
01/04/2013,18,2809.13
01/04/2013,19,3436.01
01/04/2013,20,3811.09
01/04/2013,21,4395.68
01/04/2013,22,4703.35
01/04/2013,23,4383.05
01/04/2013,24,4938.48
01/05/2013,1,5854.27
01/05/2013,2,6426.96
01/05/2013,3,5466.38
01/05/2013,4,4627.78
01/05/2013,5,4464.70
01/05/2013,6,4655.42
01/05/2013,7,5098.36
01/05/2013,8,5314.66
01/05/2013,9,5653.31
01/05/2013,10,6270.26
01/05/2013,11,6290.80
01/05/2013,12,6357.62
01/05/2013,13,6298.78
01/05/2013,14,6138.64
01/05/2013,15,6133.25
01/05/2013,16,6094.93
01/05/2013,17,6151.82
01/05/2013,18,6543.07
01/05/2013,19,6942.40
01/05/2013,20,7492.10
01/05/2013,21,7996.94
01/05/2013,22,8250.27
01/05/2013,23,8496.89
01/05/2013,24,8254.33
01/06/2013,1,8230.41
01/06/2013,2,7870.31
01/06/2013,3,7655.13
01/06/2013,4,7078.55
01/06/2013,5,6399.81
01/06/2013,6,5974.86
01/06/2013,7,5343.59
01/06/2013,8,4812.25
01/06/2013,9,4057.80
01/06/2013,10,3662.33
01/06/2013,11,3024.01
01/06/2013,12,2172.75
01/06/2013,13,1786.41
01/06/2013,14,1760.52
01/06/2013,15,1840.34
01/06/2013,16,2064.45
01/06/2013,17,2439.15
01/06/2013,18,3235.11
01/06/2013,19,4574.91
01/06/2013,20,5992.22
01/06/2013,21,6666.99
01/06/2013,22,7398.47
01/06/2013,23,7439.66
01/06/2013,24,7203.70
01/07/2013,1,7233.82
01/07/2013,2,7427.75
01/07/2013,3,6986.53
01/07/2013,4,6786.14
01/07/2013,5,7899.76
01/07/2013,6,8424.29
01/07/2013,7,8716.35
01/07/2013,8,9106.08
01/07/2013,9,9008.17
01/07/2013,10,8823.28
01/07/2013,11,8585.72
01/07/2013,12,8023.86
01/07/2013,13,7505.79
01/07/2013,14,6665.81
01/07/2013,15,5797.63
01/07/2013,16,4771.32
01/07/2013,17,4100.61
01/07/2013,18,3810.37
01/07/2013,19,3748.10
01/07/2013,20,3729.72
01/07/2013,21,3328.21
01/07/2013,22,2880.62
01/07/2013,23,2466.50
01/07/2013,24,2261.42
01/08/2013,1,2268.67
01/08/2013,2,2391.41
01/08/2013,3,2662.09
01/08/2013,4,3165.32
01/08/2013,5,3857.06
01/08/2013,6,4745.10
01/08/2013,7,5461.79
01/08/2013,8,5906.39
01/08/2013,9,6579.05
01/08/2013,10,7494.61
01/08/2013,11,7246.81
01/08/2013,12,6552.11
01/08/2013,13,6335.86
01/08/2013,14,6296.07
01/08/2013,15,6439.58
01/08/2013,16,6729.89
01/08/2013,17,7219.10
01/08/2013,18,7501.74
01/08/2013,19,8354.75
01/08/2013,20,8898.94
01/08/2013,21,8914.51
01/08/2013,22,8808.77
01/08/2013,23,8456.68
01/08/2013,24,8231.21
01/09/2013,1,8301.07
01/09/2013,2,8286.20
01/09/2013,3,8537.85
01/09/2013,4,8789.36
01/09/2013,5,9017.21
01/09/2013,6,8731.72
01/09/2013,7,8617.73
01/09/2013,8,8197.39
01/09/2013,9,7451.65
01/09/2013,10,7004.93
01/09/2013,11,6427.46
01/09/2013,12,5393.06
01/09/2013,13,5320.40
01/09/2013,14,5357.49
01/09/2013,15,4659.28
01/09/2013,16,3651.49
01/09/2013,17,3306.42
01/09/2013,18,3805.75
01/09/2013,19,4471.32
01/09/2013,20,5244.33
01/09/2013,21,5922.41
01/09/2013,22,6405.46
01/09/2013,23,7113.75
01/09/2013,24,7281.10
01/10/2013,1,7561.19
01/10/2013,2,7718.87
01/10/2013,3,7844.25
01/10/2013,4,7961.82
01/10/2013,5,7943.27
01/10/2013,6,7637.77
01/10/2013,7,7429.07
01/10/2013,8,7698.62
01/10/2013,9,8314.15
01/10/2013,10,8355.59
01/10/2013,11,8304.46
01/10/2013,12,8192.72
01/10/2013,13,7933.30
01/10/2013,14,7708.84
01/10/2013,15,7525.81
01/10/2013,16,7007.61
01/10/2013,17,6962.59
01/10/2013,18,7050.77
01/10/2013,19,7063.32
01/10/2013,20,7119.66
01/10/2013,21,7093.01
01/10/2013,22,6759.28
01/10/2013,23,6821.80
01/10/2013,24,6537.17
01/11/2013,1,5645.64
01/11/2013,2,5161.06
01/11/2013,3,5256.55
01/11/2013,4,5360.61
01/11/2013,5,5104.62
01/11/2013,6,4967.14
01/11/2013,7,5101.40
01/11/2013,8,5353.13
01/11/2013,9,5901.48
01/11/2013,10,6156.44
01/11/2013,11,6322.88
01/11/2013,12,6435.95
01/11/2013,13,6576.23
01/11/2013,14,6095.17
01/11/2013,15,5726.87
01/11/2013,16,5957.08
01/11/2013,17,6111.15
01/11/2013,18,6255.64
01/11/2013,19,6524.47
01/11/2013,20,6806.12
01/11/2013,21,7384.48
01/11/2013,22,7168.79
01/11/2013,23,7442.05
01/11/2013,24,7451.15
01/12/2013,1,7849.89
01/12/2013,2,8275.81
01/12/2013,3,8618.33
01/12/2013,4,8342.83
01/12/2013,5,8473.82
01/12/2013,6,8556.97
01/12/2013,7,8477.21
01/12/2013,8,8120.03
01/12/2013,9,7865.71
01/12/2013,10,7556.29
01/12/2013,11,7816.87
01/12/2013,12,7638.83
01/12/2013,13,7624.26
01/12/2013,14,7301.89
01/12/2013,15,7028.19
01/12/2013,16,6121.65
01/12/2013,17,5232.71
01/12/2013,18,4748.40
01/12/2013,19,4248.79
01/12/2013,20,3996.32
01/12/2013,21,4000.28
01/12/2013,22,3937.23
01/12/2013,23,4190.33
01/12/2013,24,4331.22
01/13/2013,1,4330.85
01/13/2013,2,4350.89
01/13/2013,3,3966.87
01/13/2013,4,3556.69
01/13/2013,5,3378.70
01/13/2013,6,3440.44
01/13/2013,7,3294.17
01/13/2013,8,3057.18
01/13/2013,9,2583.27
01/13/2013,10,2367.11
01/13/2013,11,2902.64
01/13/2013,12,3129.61
01/13/2013,13,3277.80
01/13/2013,14,3565.64
01/13/2013,15,3749.97
01/13/2013,16,3822.93
01/13/2013,17,3825.68
01/13/2013,18,3763.92
01/13/2013,19,3577.14
01/13/2013,20,3514.23
01/13/2013,21,3812.00
01/13/2013,22,4044.96
01/13/2013,23,4132.43
01/13/2013,24,4085.47
01/14/2013,1,3662.39
01/14/2013,2,3164.61
01/14/2013,3,2613.95
01/14/2013,4,2077.47
01/14/2013,5,1812.59
01/14/2013,6,1756.88
01/14/2013,7,1562.88
01/14/2013,8,1585.26
01/14/2013,9,1433.84
01/14/2013,10,1412.26
01/14/2013,11,1149.59
01/14/2013,12,1025.11
01/14/2013,13,1209.09
01/14/2013,14,1114.45
01/14/2013,15,872.15
01/14/2013,16,563.50
01/14/2013,17,523.40
01/14/2013,18,685.05
01/14/2013,19,1092.13
01/14/2013,20,1736.07
01/14/2013,21,2524.07
01/14/2013,22,3147.29
01/14/2013,23,3737.23
01/14/2013,24,4184.81
01/15/2013,1,4609.09
01/15/2013,2,4705.88
01/15/2013,3,4569.77
01/15/2013,4,4624.65
01/15/2013,5,4364.18
01/15/2013,6,4217.37
01/15/2013,7,4212.19
01/15/2013,8,4060.15
01/15/2013,9,4047.22
01/15/2013,10,4047.22
01/15/2013,11,4047.22
01/15/2013,12,2889.78
01/15/2013,13,3164.99
01/15/2013,14,3838.49
01/15/2013,15,4465.58
01/15/2013,16,5073.60
01/15/2013,17,5585.89
01/15/2013,18,5958.19
01/15/2013,19,6592.29
01/15/2013,20,7555.93
01/15/2013,21,8239.32
01/15/2013,22,8416.74
01/15/2013,23,8218.61
01/15/2013,24,8370.40
01/16/2013,1,8559.58
01/16/2013,2,8509.64
01/16/2013,3,7889.87
01/16/2013,4,7869.21
