Historical Hourly Wind Generation

Published Date: 11/21/2015
Reporting Period: 1/1/2015 through 11/20/2015

All Hours Ending are Eastern Standard Time (EST)

Market Day	,Hour Ending,MWh
01/01/2015,1,9338.28
01/01/2015,2,9508.78
01/01/2015,3,9635.41
01/01/2015,4,9302.76
01/01/2015,5,8646.68
01/01/2015,6,8474.99
01/01/2015,7,8323.96
01/01/2015,8,8122.68
01/01/2015,9,8295.19
01/01/2015,10,8563.65
01/01/2015,11,8449.95
01/01/2015,12,7995.38
01/01/2015,13,7791.68
01/01/2015,14,7389.33
01/01/2015,15,6804.51
01/01/2015,16,5953.88
01/01/2015,17,4916.20
01/01/2015,18,4316.27
01/01/2015,19,4411.59
01/01/2015,20,4040.71
01/01/2015,21,3475.50
01/01/2015,22,3106.51
01/01/2015,23,2926.75
01/01/2015,24,2790.06
01/02/2015,1,2707.73
01/02/2015,2,2648.64
01/02/2015,3,2431.00
01/02/2015,4,2075.09
01/02/2015,5,1684.14
01/02/2015,6,1708.48
01/02/2015,7,1897.40
01/02/2015,8,1764.75
01/02/2015,9,1950.07
01/02/2015,10,2131.59
01/02/2015,11,1862.37
01/02/2015,12,1810.85
01/02/2015,13,2046.14
01/02/2015,14,1869.57
01/02/2015,15,1865.60
01/02/2015,16,2009.22
01/02/2015,17,2152.35
01/02/2015,18,2664.89
01/02/2015,19,3885.04
01/02/2015,20,4770.28
01/02/2015,21,4897.37
01/02/2015,22,4797.67
01/02/2015,23,4849.76
01/02/2015,24,5162.37
01/03/2015,1,5147.37
01/03/2015,2,5639.86
01/03/2015,3,5877.29
01/03/2015,4,5989.77
01/03/2015,5,5666.10
01/03/2015,6,5226.98
01/03/2015,7,4656.39
01/03/2015,8,4256.92
01/03/2015,9,4354.39
01/03/2015,10,4669.08
01/03/2015,11,4322.05
01/03/2015,12,3088.24
01/03/2015,13,2884.58
01/03/2015,14,3443.02
01/03/2015,15,3906.63
01/03/2015,16,3882.95
01/03/2015,17,4020.14
01/03/2015,18,4782.18
01/03/2015,19,5780.99
01/03/2015,20,6822.02
01/03/2015,21,7720.29
01/03/2015,22,8046.72
01/03/2015,23,8146.59
01/03/2015,24,8434.55
01/04/2015,1,8537.07
01/04/2015,2,8638.26
01/04/2015,3,8606.99
01/04/2015,4,8565.26
01/04/2015,5,8745.48
01/04/2015,6,8603.73
01/04/2015,7,8710.15
01/04/2015,8,8661.55
01/04/2015,9,8724.54
01/04/2015,10,8949.49
01/04/2015,11,9106.47
01/04/2015,12,9136.95
01/04/2015,13,9320.35
01/04/2015,14,9117.88
01/04/2015,15,9240.50
01/04/2015,16,9521.39
01/04/2015,17,9680.46
01/04/2015,18,9058.91
01/04/2015,19,8683.45
01/04/2015,20,8492.61
01/04/2015,21,8477.32
01/04/2015,22,8553.06
01/04/2015,23,8516.48
01/04/2015,24,8206.99
01/05/2015,1,7848.16
01/05/2015,2,7277.13
01/05/2015,3,6702.54
01/05/2015,4,5981.20
01/05/2015,5,5444.82
01/05/2015,6,5000.72
01/05/2015,7,4506.12
01/05/2015,8,4023.15
01/05/2015,9,3400.65
01/05/2015,10,3012.44
01/05/2015,11,2584.51
01/05/2015,12,2481.82
01/05/2015,13,2428.59
01/05/2015,14,2447.38
01/05/2015,15,3303.46
01/05/2015,16,4450.56
01/05/2015,17,5201.20
01/05/2015,18,4945.24
01/05/2015,19,4431.19
01/05/2015,20,4056.33
01/05/2015,21,3275.60
01/05/2015,22,2760.34
01/05/2015,23,2545.74
01/05/2015,24,2259.09
01/06/2015,1,2169.43
01/06/2015,2,2122.70
01/06/2015,3,2612.90
01/06/2015,4,3302.71
01/06/2015,5,4339.30
01/06/2015,6,5163.07
01/06/2015,7,5562.46
01/06/2015,8,5605.32
01/06/2015,9,5406.22
01/06/2015,10,5231.22
01/06/2015,11,5076.03
01/06/2015,12,5070.60
01/06/2015,13,5853.24
01/06/2015,14,6939.87
01/06/2015,15,7382.25
01/06/2015,16,7907.31
01/06/2015,17,8722.41
01/06/2015,18,9326.62
01/06/2015,19,9894.25
01/06/2015,20,10653.14
01/06/2015,21,11225.04
01/06/2015,22,11553.90
01/06/2015,23,11725.38
01/06/2015,24,11564.22
01/07/2015,1,11478.00
01/07/2015,2,11551.47
01/07/2015,3,11437.92
01/07/2015,4,11431.90
01/07/2015,5,11356.41
01/07/2015,6,11235.73
01/07/2015,7,11110.01
01/07/2015,8,10870.85
01/07/2015,9,10587.25
01/07/2015,10,10472.07
01/07/2015,11,10457.23
01/07/2015,12,10083.08
01/07/2015,13,9777.56
01/07/2015,14,8944.75
01/07/2015,15,8197.43
01/07/2015,16,7201.39
01/07/2015,17,6302.83
01/07/2015,18,6056.67
01/07/2015,19,6432.26
01/07/2015,20,6577.86
01/07/2015,21,6614.69
01/07/2015,22,6931.38
01/07/2015,23,7290.40
01/07/2015,24,7921.22
01/08/2015,1,8188.71
01/08/2015,2,8286.23
01/08/2015,3,8341.22
01/08/2015,4,8622.86
01/08/2015,5,9590.88
01/08/2015,6,9997.25
01/08/2015,7,10215.47
01/08/2015,8,10548.47
01/08/2015,9,10726.66
01/08/2015,10,10988.78
01/08/2015,11,11008.69
01/08/2015,12,11288.66
01/08/2015,13,11494.02
01/08/2015,14,11479.00
01/08/2015,15,11396.00
01/08/2015,16,11441.81
01/08/2015,17,11592.69
01/08/2015,18,11458.47
01/08/2015,19,11610.77
01/08/2015,20,11643.93
01/08/2015,21,11538.95
01/08/2015,22,11663.69
01/08/2015,23,11834.99
01/08/2015,24,11603.84
01/09/2015,1,11471.00
01/09/2015,2,11516.75
01/09/2015,3,11681.08
01/09/2015,4,11628.25
01/09/2015,5,11558.03
01/09/2015,6,11352.28
01/09/2015,7,11217.00
01/09/2015,8,11087.69
01/09/2015,9,10627.64
01/09/2015,10,10032.86
01/09/2015,11,10011.37
01/09/2015,12,10182.04
01/09/2015,13,10066.37
01/09/2015,14,9911.82
01/09/2015,15,10073.18
01/09/2015,16,10010.65
01/09/2015,17,9645.43
01/09/2015,18,8853.63
01/09/2015,19,8004.71
01/09/2015,20,7862.88
01/09/2015,21,7951.23
01/09/2015,22,7734.77
01/09/2015,23,6988.66
01/09/2015,24,6254.89
01/10/2015,1,6280.96
01/10/2015,2,6398.47
01/10/2015,3,6396.40
01/10/2015,4,6725.13
01/10/2015,5,7213.44
01/10/2015,6,8270.72
01/10/2015,7,8890.75
01/10/2015,8,9539.34
01/10/2015,9,9917.88
01/10/2015,10,10031.83
01/10/2015,11,9853.41
01/10/2015,12,9793.89
01/10/2015,13,9334.11
01/10/2015,14,8746.59
01/10/2015,15,8037.58
01/10/2015,16,7115.69
01/10/2015,17,6298.84
01/10/2015,18,5372.30
01/10/2015,19,4833.95
01/10/2015,20,5275.72
01/10/2015,21,5166.32
01/10/2015,22,4999.24
01/10/2015,23,4841.59
01/10/2015,24,4584.19
01/11/2015,1,4148.04
01/11/2015,2,3940.24
01/11/2015,3,3484.91
01/11/2015,4,3237.06
01/11/2015,5,3168.86
01/11/2015,6,3314.63
01/11/2015,7,3241.10
01/11/2015,8,2949.31
01/11/2015,9,2505.78
01/11/2015,10,2396.61
01/11/2015,11,2469.08
01/11/2015,12,1836.85
01/11/2015,13,1515.82
01/11/2015,14,1476.79
01/11/2015,15,1468.93
01/11/2015,16,1659.53
01/11/2015,17,2107.34
01/11/2015,18,2603.38
01/11/2015,19,3254.99
01/11/2015,20,3540.21
01/11/2015,21,3798.34
01/11/2015,22,4228.92
01/11/2015,23,4767.38
01/11/2015,24,5332.68
01/12/2015,1,5835.01
01/12/2015,2,6035.05
01/12/2015,3,6392.07
01/12/2015,4,6518.95
01/12/2015,5,6416.75
01/12/2015,6,6303.68
01/12/2015,7,6392.80
01/12/2015,8,6332.23
01/12/2015,9,6128.30
01/12/2015,10,6312.22
01/12/2015,11,6098.03
01/12/2015,12,5597.75
01/12/2015,13,4893.09
01/12/2015,14,4632.81
01/12/2015,15,4258.73
01/12/2015,16,4058.91
01/12/2015,17,3771.29
01/12/2015,18,3509.92
01/12/2015,19,3939.46
01/12/2015,20,4099.56
01/12/2015,21,4236.13
01/12/2015,22,4297.43
01/12/2015,23,4067.37
01/12/2015,24,4099.63
01/13/2015,1,3988.72
01/13/2015,2,3802.24
01/13/2015,3,3731.51
01/13/2015,4,3704.57
01/13/2015,5,3793.49
01/13/2015,6,4098.76
01/13/2015,7,4454.68
01/13/2015,8,4829.31
01/13/2015,9,5184.11
01/13/2015,10,5426.04
01/13/2015,11,5115.92
01/13/2015,12,4045.00
01/13/2015,13,3583.63
01/13/2015,14,3574.17
01/13/2015,15,3517.79
01/13/2015,16,3384.92
01/13/2015,17,3432.22
01/13/2015,18,3422.53
01/13/2015,19,3904.74
01/13/2015,20,4576.48
01/13/2015,21,5145.54
01/13/2015,22,5661.75
01/13/2015,23,5996.81
01/13/2015,24,5939.65
01/14/2015,1,5604.50
01/14/2015,2,5185.19
01/14/2015,3,4722.29
01/14/2015,4,4270.28
01/14/2015,5,3867.31
01/14/2015,6,3397.90
01/14/2015,7,2924.61
01/14/2015,8,2327.87
01/14/2015,9,1954.01
01/14/2015,10,1698.96
01/14/2015,11,1311.11
01/14/2015,12,951.47
01/14/2015,13,928.89
01/14/2015,14,1115.07
01/14/2015,15,1324.31
01/14/2015,16,1584.21
01/14/2015,17,1907.01
01/14/2015,18,2256.08
01/14/2015,19,2773.47
01/14/2015,20,3574.39
01/14/2015,21,4342.72
01/14/2015,22,4886.31
01/14/2015,23,5156.00
01/14/2015,24,5744.79
01/15/2015,1,6459.98
01/15/2015,2,6536.34
01/15/2015,3,6872.44
01/15/2015,4,6811.98
01/15/2015,5,6968.41
01/15/2015,6,7268.46
01/15/2015,7,7343.43
01/15/2015,8,7284.42
01/15/2015,9,7218.80
01/15/2015,10,7448.39
01/15/2015,11,6583.96
01/15/2015,12,5366.68
01/15/2015,13,5172.72
01/15/2015,14,5646.20
01/15/2015,15,6114.22
01/15/2015,16,6174.36
01/15/2015,17,5784.03
01/15/2015,18,5519.41
01/15/2015,19,5936.40
01/15/2015,20,6159.76
01/15/2015,21,5915.11
01/15/2015,22,5657.28
01/15/2015,23,5258.15
01/15/2015,24,4896.69
01/16/2015,1,4627.00
01/16/2015,2,4654.92
01/16/2015,3,4807.81
01/16/2015,4,4933.10
01/16/2015,5,5233.32
01/16/2015,6,5989.53
01/16/2015,7,6063.85
01/16/2015,8,5692.28
01/16/2015,9,5495.97
01/16/2015,10,5389.93
01/16/2015,11,5192.26
01/16/2015,12,4490.92
01/16/2015,13,3530.41
01/16/2015,14,3247.66
01/16/2015,15,3023.03
01/16/2015,16,2858.65
01/16/2015,17,2834.39
01/16/2015,18,3230.06
01/16/2015,19,4008.25
01/16/2015,20,5261.80
01/16/2015,21,6084.51
01/16/2015,22,6573.91
01/16/2015,23,7304.19
01/16/2015,24,7614.24
01/17/2015,1,7934.44
01/17/2015,2,8098.90
01/17/2015,3,8646.49
01/17/2015,4,9205.55
01/17/2015,5,9649.33
01/17/2015,6,9440.27
01/17/2015,7,8900.29
01/17/2015,8,8465.83
01/17/2015,9,8570.97
01/17/2015,10,9594.43
01/17/2015,11,10469.24
01/17/2015,12,11178.67
01/17/2015,13,11510.61
01/17/2015,14,11464.80
01/17/2015,15,11367.87
01/17/2015,16,11108.21
01/17/2015,17,11444.29
01/17/2015,18,11405.48
01/17/2015,19,11717.58
01/17/2015,20,11657.98
01/17/2015,21,11628.50
01/17/2015,22,11505.96
01/17/2015,23,11148.27
01/17/2015,24,10858.50
01/18/2015,1,10119.84
01/18/2015,2,9462.88
01/18/2015,3,8969.47
01/18/2015,4,8806.44
01/18/2015,5,8808.60
01/18/2015,6,8446.26
01/18/2015,7,7749.87
01/18/2015,8,6453.07
01/18/2015,9,5521.05
01/18/2015,10,4715.67
01/18/2015,11,3628.26
01/18/2015,12,2862.22
01/18/2015,13,2538.86
01/18/2015,14,2396.34
01/18/2015,15,2252.84
01/18/2015,16,1848.69
01/18/2015,17,1160.17
01/18/2015,18,863.59
01/18/2015,19,835.16
01/18/2015,20,978.66
01/18/2015,21,1120.70
01/18/2015,22,1311.68
01/18/2015,23,1432.10
01/18/2015,24,1580.25
01/19/2015,1,1857.07
01/19/2015,2,2243.99
01/19/2015,3,2443.32
01/19/2015,4,2845.58
01/19/2015,5,3377.78
01/19/2015,6,3605.71
01/19/2015,7,3815.11
01/19/2015,8,4200.85
01/19/2015,9,4097.75
01/19/2015,10,3960.35
01/19/2015,11,3948.77
01/19/2015,12,3714.18
01/19/2015,13,3613.65
01/19/2015,14,3554.86
01/19/2015,15,3169.69
01/19/2015,16,3025.14
01/19/2015,17,3396.95
01/19/2015,18,3943.84
01/19/2015,19,4559.61
01/19/2015,20,5127.14
01/19/2015,21,5768.96
01/19/2015,22,5829.20
01/19/2015,23,5351.23
01/19/2015,24,5087.58
01/20/2015,1,4999.72
01/20/2015,2,4930.50
01/20/2015,3,4824.72
01/20/2015,4,4422.91
01/20/2015,5,3754.48
01/20/2015,6,3571.85
01/20/2015,7,3259.34
01/20/2015,8,3007.25
01/20/2015,9,2520.75
01/20/2015,10,2242.52
01/20/2015,11,1708.66
01/20/2015,12,1378.42
01/20/2015,13,1423.52
01/20/2015,14,1700.76
01/20/2015,15,2077.77
01/20/2015,16,2345.75
01/20/2015,17,2362.72
01/20/2015,18,2226.26
01/20/2015,19,2414.42
01/20/2015,20,2429.79
01/20/2015,21,2732.79
01/20/2015,22,3443.71
01/20/2015,23,3742.79
01/20/2015,24,3706.20
01/21/2015,1,3744.79
01/21/2015,2,3888.19
01/21/2015,3,4029.12
01/21/2015,4,3914.33
01/21/2015,5,3706.37
01/21/2015,6,3830.22
01/21/2015,7,3644.48
01/21/2015,8,3499.20
01/21/2015,9,3213.49
01/21/2015,10,2753.19
01/21/2015,11,2439.78
01/21/2015,12,2318.76
01/21/2015,13,2207.64
01/21/2015,14,2189.86
01/21/2015,15,2360.01
01/21/2015,16,2379.65
01/21/2015,17,2427.18
01/21/2015,18,2247.17
01/21/2015,19,2154.28
01/21/2015,20,2100.82
01/21/2015,21,1904.67
01/21/2015,22,1792.05
01/21/2015,23,1651.83
01/21/2015,24,1339.72
01/22/2015,1,1442.03
01/22/2015,2,1548.09
01/22/2015,3,1614.96
01/22/2015,4,1848.90
01/22/2015,5,1936.77
01/22/2015,6,1854.93
01/22/2015,7,1695.13
01/22/2015,8,1571.34
01/22/2015,9,1413.97
01/22/2015,10,1438.50
01/22/2015,11,1578.08
01/22/2015,12,2037.52
01/22/2015,13,3014.90
01/22/2015,14,3720.79
01/22/2015,15,3688.18
01/22/2015,16,3642.88
01/22/2015,17,3642.94
01/22/2015,18,3894.53
01/22/2015,19,4458.55
01/22/2015,20,5180.48
01/22/2015,21,6334.30
01/22/2015,22,7763.40
01/22/2015,23,8692.30
01/22/2015,24,9184.41
01/23/2015,1,9350.59
01/23/2015,2,9224.16
01/23/2015,3,9108.27
01/23/2015,4,8950.62
01/23/2015,5,8980.06
01/23/2015,6,9080.49
01/23/2015,7,9322.73
01/23/2015,8,9510.08
01/23/2015,9,9443.53
01/23/2015,10,9245.24
01/23/2015,11,8503.11
01/23/2015,12,7409.24
01/23/2015,13,6789.87
01/23/2015,14,6446.28
01/23/2015,15,6442.31
01/23/2015,16,6473.50
01/23/2015,17,5991.35
01/23/2015,18,5606.55
01/23/2015,19,6137.81
01/23/2015,20,7010.93
01/23/2015,21,7687.90
01/23/2015,22,8060.37
01/23/2015,23,8428.11
01/23/2015,24,8245.04
01/24/2015,1,8111.11
01/24/2015,2,7695.23
01/24/2015,3,7287.93
01/24/2015,4,7027.31
01/24/2015,5,6827.97
01/24/2015,6,6175.44
01/24/2015,7,5911.63
01/24/2015,8,5540.97
01/24/2015,9,5472.99
01/24/2015,10,4977.34
01/24/2015,11,3629.02
01/24/2015,12,2840.82
01/24/2015,13,2783.18
01/24/2015,14,3229.24
01/24/2015,15,3851.10
01/24/2015,16,4104.42
01/24/2015,17,3912.89
01/24/2015,18,3458.05
01/24/2015,19,3275.48
01/24/2015,20,3031.03
01/24/2015,21,2896.51
01/24/2015,22,3122.67
01/24/2015,23,3396.14
01/24/2015,24,4012.99
01/25/2015,1,4874.88
01/25/2015,2,5463.02
01/25/2015,3,5919.81
01/25/2015,4,6174.98
