CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />,location
2000-1-1,33,28.0,24,25,21,18,82,74,66,30.05,29.9,29.73,10,10,8,13,9,,0.0,6,Rain,36<br />,KMSP
2000-1-10,35,32.0,28,34,30,23,100,90,65,29.48,29.31,29.24,10,3,0,16,6,23.0,0.02,8,Fog-Snow,275<br />,KMSP
2000-1-11,32,22.0,12,28,10,1,87,71,59,30.21,29.89,29.49,10,9,2,23,15,32.0,0.0,6,Snow,308<br />,KMSP
2000-1-12,12,10.0,8,10,7,0,92,82,61,30.32,30.16,30.07,10,2,0,17,12,24.0,0.3,8,Fog-Snow,53<br />,KMSP
2000-1-13,18,10.0,3,11,8,0,92,82,73,30.78,30.59,30.27,10,8,1,10,6,,0.0,5,Snow,290<br />,KMSP
2000-1-14,28,14.0,0,21,11,-4,88,80,72,30.77,30.44,30.15,10,8,3,17,8,,0.0,6,,136<br />,KMSP
2000-1-15,35,26.0,14,24,19,5,85,76,64,30.32,30.05,29.91,10,9,7,18,7,30.0,0.09,7,,166<br />,KMSP
2000-1-16,18,10.0,3,4,1,-2,76,63,50,30.76,30.64,30.37,10,10,10,21,13,20.0,0.0,5,,42<br />,KMSP
2000-1-17,28,23.0,18,26,18,4,96,82,54,30.58,30.3,30.13,10,6,1,20,14,29.0,0.01,8,Snow,158<br />,KMSP
2000-1-18,27,18.0,9,25,9,4,92,70,54,30.27,30.2,30.11,10,9,4,16,11,,0.0,1,,283<br />,KMSP
2000-1-19,15,8.0,0,12,7,-9,92,82,64,30.23,30.04,29.94,10,4,0,16,7,30.0,0.24,6,Fog-Snow,23<br />,KMSP
2000-1-2,35,32.0,28,29,26,24,93,82,70,30.09,29.78,29.62,10,8,1,16,10,26.0,0.04,8,Rain-Snow,28<br />,KMSP
2000-1-20,6,-4.0,-13,-3,-10,-18,82,75,65,30.32,30.26,30.18,10,9,5,14,8,,0.0,3,Snow,260<br />,KMSP
2000-1-21,7,-2.0,-9,2,-8,-15,87,74,60,30.32,30.22,30.03,10,9,2,14,5,,0.0,4,Snow,134<br />,KMSP
2000-1-22,21,14.0,6,14,7,0,88,77,65,29.99,29.89,29.78,10,7,2,21,11,28.0,0.01,6,Snow,198<br />,KMSP
2000-1-23,7,4.0,-5,0,-5,-10,80,68,60,30.24,30.13,29.97,10,10,7,22,13,29.0,0.0,2,,284<br />,KMSP
2000-1-24,19,6.0,-6,13,4,-10,87,75,62,30.2,30.07,29.99,10,9,4,17,8,,0.0,4,Snow,256<br />,KMSP
2000-1-25,19,13.0,3,10,3,-4,73,63,52,30.4,30.29,30.16,10,10,8,20,12,23.0,0.0,3,Snow,335<br />,KMSP
2000-1-26,16,8.0,0,2,-1,-6,83,68,52,30.53,30.47,30.41,10,10,7,7,1,,0.0,1,Fog,157<br />,KMSP
2000-1-27,17,8.0,-2,5,1,-5,88,73,56,30.65,30.6,30.54,10,9,7,8,4,,0.0,1,,144<br />,KMSP
2000-1-28,21,12.0,3,11,5,-1,87,76,60,30.68,30.65,30.62,10,8,7,10,6,,0.0,5,,134<br />,KMSP
2000-1-29,26,16.0,5,15,9,2,91,74,58,30.63,30.55,30.43,10,8,5,10,4,,0.0,7,,58<br />,KMSP
2000-1-3,28,26.0,24,23,20,19,85,79,74,30.12,30.06,30.0,10,8,2,16,10,22.0,0.0,8,Snow,35<br />,KMSP
2000-1-30,28,18.0,7,13,9,3,88,71,51,30.42,30.27,30.12,10,8,3,10,6,,0.0,4,,299<br />,KMSP
2000-1-31,28,19.0,10,19,13,7,92,77,61,30.19,30.03,29.92,10,8,4,14,9,21.0,0.0,2,,292<br />,KMSP
2000-1-4,24,17.0,10,21,11,6,88,76,62,30.23,30.12,29.97,10,8,3,20,13,24.0,0.03,5,Snow,305<br />,KMSP
2000-1-5,30,20.0,10,27,18,5,100,87,68,30.22,29.91,29.81,10,4,0,21,12,24.0,0.17,8,Fog-Snow,176<br />,KMSP
2000-1-6,28,19.0,10,25,13,2,86,73,59,30.32,30.09,29.86,10,8,1,22,14,32.0,0.01,6,Snow,275<br />,KMSP
2000-1-7,23,12.0,0,20,7,-3,88,76,62,30.39,30.23,29.93,10,10,10,16,7,,0.0,4,,188<br />,KMSP
2000-1-8,37,28.0,19,25,21,18,92,76,59,29.92,29.83,29.78,10,10,9,10,5,,0.0,1,,206<br />,KMSP
2000-1-9,36,28.0,19,36,28,18,100,95,81,29.78,29.58,29.34,10,2,0,10,7,,0.0,6,Fog,134<br />,KMSP
2000-10-1,73,65.0,57,56,52,49,83,62,47,29.6,29.54,29.45,10,10,8,14,8,,0.0,6,,146<br />,KMSP
2000-10-10,64,49.0,35,24,21,17,59,37,17,30.26,30.21,30.16,10,10,10,15,6,,0.0,0,,206<br />,KMSP
2000-10-11,69,52.0,35,28,25,21,67,38,18,30.26,30.19,30.13,10,10,10,21,7,22.0,0.0,0,,158<br />,KMSP
2000-10-12,73,60.0,48,52,42,29,67,50,38,30.13,30.03,29.95,10,10,9,20,9,,0.01,4,Rain,162<br />,KMSP
2000-10-13,78,69.0,63,55,53,50,68,57,46,29.94,29.82,29.72,10,10,10,17,10,,0.0,6,,197<br />,KMSP
