Date,lmp,wind,load,ng,coal
5/6/08 12:00 AM,17.84,12.746,29431,11.09,14.25
5/6/08 1:00 AM,14.31,35.894,28064,11.09,14.25
5/6/08 2:00 AM,22.15,119.437,27379,11.09,14.25
5/6/08 3:00 AM,18.31,131.084,27134,11.09,14.25
5/6/08 4:00 AM,31.07,262.418,27490,11.09,14.25
5/6/08 5:00 AM,34.67,247.389,29182,11.09,14.25
5/6/08 6:00 AM,49.45,280.227,32051,11.09,14.25
5/6/08 7:00 AM,50.69,276.291,34149,11.09,14.25
5/6/08 8:00 AM,47.97,169.592,35442,11.09,14.25
5/6/08 9:00 AM,76.79,100.677,36175,11.09,14.25
5/6/08 10:00 AM,61.43,28.683,36998,11.09,14.25
5/6/08 11:00 AM,62.64,57.618,37426,11.09,14.25
5/6/08 12:00 PM,81.37,108.817,37907,11.09,14.25
5/6/08 1:00 PM,84.8,195.422,38285,11.09,14.25
5/6/08 2:00 PM,109.99,292.471,38438,11.09,14.25
5/6/08 3:00 PM,76.62,383.671,38338,11.09,14.25
5/6/08 4:00 PM,108.35,496.639,38161,11.09,14.25
5/6/08 5:00 PM,117.69,580.053,37711,11.09,14.25
5/6/08 6:00 PM,38.79,551.428,37253,11.09,14.25
5/6/08 7:00 PM,90.14,574.92,36685,11.09,14.25
5/6/08 8:00 PM,85.34,562.374,37230,11.09,14.25
5/6/08 9:00 PM,44.4,579.382,37826,11.09,14.25
5/6/08 10:00 PM,30.93,664.103,35806,11.09,14.25
5/6/08 11:00 PM,-3.32,681.776,32662,11.09,14.25
5/7/08 12:00 AM,8.55,608.258,30294,11.08,14.14285714
5/7/08 1:00 AM,-18.83,532.36,28889,11.08,14.14285714
5/7/08 2:00 AM,14.31,511.474,27990,11.08,14.14285714
5/7/08 3:00 AM,22.55,452.757,27541,11.08,14.14285714
5/7/08 4:00 AM,29.69,537.621,27723,11.08,14.14285714
5/7/08 5:00 AM,40.04,541.415,29366,11.08,14.14285714
5/7/08 6:00 AM,40.81,516.687,32199,11.08,14.14285714
5/7/08 7:00 AM,42.03,470.334,34559,11.08,14.14285714
5/7/08 8:00 AM,37.72,426.86,35986,11.08,14.14285714
5/7/08 9:00 AM,65.89,400.042,36820,11.08,14.14285714
5/7/08 10:00 AM,45.12,435.435,37636,11.08,14.14285714
5/7/08 11:00 AM,76.51,389.406,38096,11.08,14.14285714
5/7/08 12:00 PM,77.77,366.255,38324,11.08,14.14285714
5/7/08 1:00 PM,86.97,318.514,38713,11.08,14.14285714
5/7/08 2:00 PM,49.52,289.479,38754,11.08,14.14285714
5/7/08 3:00 PM,63.03,286.955,38569,11.08,14.14285714
5/7/08 4:00 PM,31.28,208.818,38330,11.08,14.14285714
5/7/08 5:00 PM,70.46,160.421,38025,11.08,14.14285714
5/7/08 6:00 PM,57.27,161.179,37498,11.08,14.14285714
5/7/08 7:00 PM,53.28,148.575,37251,11.08,14.14285714
5/7/08 8:00 PM,84.53,157.38,38213,11.08,14.14285714
5/7/08 9:00 PM,46.87,216.793,38018,11.08,14.14285714
5/7/08 10:00 PM,29.66,269.158,35661,11.08,14.14285714
5/7/08 11:00 PM,23.08,374.058,32680,11.08,14.14285714
5/8/08 12:00 AM,14.98,348.362,30401,11.33,14.03571429
5/8/08 1:00 AM,18.7,579.859,28921,11.33,14.03571429
5/8/08 2:00 AM,3.97,709.917,28082,11.33,14.03571429
5/8/08 3:00 AM,12.82,660.188,27796,11.33,14.03571429
5/8/08 4:00 AM,22.44,650.648,28119,11.33,14.03571429
5/8/08 5:00 AM,42.02,616.435,29472,11.33,14.03571429
5/8/08 6:00 AM,55.81,712.858,32289,11.33,14.03571429
5/8/08 7:00 AM,71.31,718.962,34493,11.33,14.03571429
5/8/08 8:00 AM,50.72,736.988,35913,11.33,14.03571429
5/8/08 9:00 AM,71.82,704.834,36624,11.33,14.03571429
5/8/08 10:00 AM,84.68,710.337,37114,11.33,14.03571429
5/8/08 11:00 AM,86.2,724.016,37428,11.33,14.03571429
5/8/08 12:00 PM,69.91,683.455,37464,11.33,14.03571429
5/8/08 1:00 PM,70.42,644.585,37478,11.33,14.03571429
5/8/08 2:00 PM,41.77,673.026,37341,11.33,14.03571429
5/8/08 3:00 PM,85.02,648.132,36909,11.33,14.03571429
5/8/08 4:00 PM,39.28,595.653,36886,11.33,14.03571429
5/8/08 5:00 PM,79.85,567.603,36667,11.33,14.03571429
5/8/08 6:00 PM,35.24,515.63,36330,11.33,14.03571429
5/8/08 7:00 PM,64.79,426.893,36086,11.33,14.03571429
5/8/08 8:00 PM,117.62,350.25,36664,11.33,14.03571429
5/8/08 9:00 PM,40.23,339.148,37058,11.33,14.03571429
5/8/08 10:00 PM,32.56,405.161,35022,11.33,14.03571429
5/8/08 11:00 PM,-7.59,445.795,32429,11.33,14.03571429
5/9/08 12:00 AM,29.9,381.616,30151,11.29,13.92857143
5/9/08 1:00 AM,7.52,302.265,28941,11.29,13.92857143
5/9/08 2:00 AM,25.47,288.412,28149,11.29,13.92857143
5/9/08 3:00 AM,22.28,305.701,27874,11.29,13.92857143
5/9/08 4:00 AM,29.9,281.648,27981,11.29,13.92857143
5/9/08 5:00 AM,38.51,237.18,29394,11.29,13.92857143
5/9/08 6:00 AM,79.85,226.792,32070,11.29,13.92857143
5/9/08 7:00 AM,83.75,150.872,34107,11.29,13.92857143
5/9/08 8:00 AM,124.17,144.076,35437,11.29,13.92857143
5/9/08 9:00 AM,127.5,123.806,36199,11.29,13.92857143
5/9/08 10:00 AM,123.01,117.97,36635,11.29,13.92857143
5/9/08 11:00 AM,106.48,113.983,36704,11.29,13.92857143
5/9/08 12:00 PM,131.1,155.941,36760,11.29,13.92857143
5/9/08 1:00 PM,99.67,173.729,36554,11.29,13.92857143
5/9/08 2:00 PM,71.01,170.146,36260,11.29,13.92857143
5/9/08 3:00 PM,67.5,134.908,35728,11.29,13.92857143
5/9/08 4:00 PM,108.12,189.855,35543,11.29,13.92857143
5/9/08 5:00 PM,61.98,157.597,34882,11.29,13.92857143
5/9/08 6:00 PM,41.35,159.688,34567,11.29,13.92857143
5/9/08 7:00 PM,121.7,210.39,34160,11.29,13.92857143
5/9/08 8:00 PM,94.5,201.442,34712,11.29,13.92857143
5/9/08 9:00 PM,67.44,150.537,35198,11.29,13.92857143
5/9/08 10:00 PM,34.6,108.38,33726,11.29,13.92857143
5/9/08 11:00 PM,30.18,84.687,31382,11.29,13.92857143
5/10/08 12:00 AM,34.17,88.122,29401,11.29,13.82142857
5/10/08 1:00 AM,30.93,79.977,27878,11.29,13.82142857
5/10/08 2:00 AM,21.4,81.557,27006,11.29,13.82142857
5/10/08 3:00 AM,24.19,91.555,26607,11.29,13.82142857
5/10/08 4:00 AM,32.76,116.025,26709,11.29,13.82142857
5/10/08 5:00 AM,35.12,119.722,26974,11.29,13.82142857
5/10/08 6:00 AM,41.89,97.587,27744,11.29,13.82142857
5/10/08 7:00 AM,90.13,147.437,28850,11.29,13.82142857
5/10/08 8:00 AM,134.02,122.946,30541,11.29,13.82142857
5/10/08 9:00 AM,76.98,80.016,31790,11.29,13.82142857
5/10/08 10:00 AM,70.82,107.331,32205,11.29,13.82142857
5/10/08 11:00 AM,59.33,99.423,32262,11.29,13.82142857
5/10/08 12:00 PM,74.9,86.989,32110,11.29,13.82142857
5/10/08 1:00 PM,57.31,116.356,31694,11.29,13.82142857
5/10/08 2:00 PM,63.92,170.97,31373,11.29,13.82142857
5/10/08 3:00 PM,40.55,269.106,31060,11.29,13.82142857
5/10/08 4:00 PM,40.17,435.484,30974,11.29,13.82142857
5/10/08 5:00 PM,53.32,446.704,30810,11.29,13.82142857
5/10/08 6:00 PM,40.77,443.544,30630,11.29,13.82142857
5/10/08 7:00 PM,47.94,527.631,30561,11.29,13.82142857
5/10/08 8:00 PM,90.87,542.92,31440,11.29,13.82142857
5/10/08 9:00 PM,35.21,517.702,32267,11.29,13.82142857
5/10/08 10:00 PM,23.05,571.231,31180,11.29,13.82142857
5/10/08 11:00 PM,20.15,649.255,29357,11.29,13.82142857
5/11/08 12:00 AM,10.28,627.454,27533,11.29,13.71428571
5/11/08 1:00 AM,23.5,721.172,26322,11.29,13.71428571
5/11/08 2:00 AM,4.49,754.139,25624,11.29,13.71428571
5/11/08 3:00 AM,14.99,773.135,25234,11.29,13.71428571
5/11/08 4:00 AM,22.71,709.193,25292,11.29,13.71428571
5/11/08 5:00 AM,19.37,441.495,25436,11.29,13.71428571
5/11/08 6:00 AM,30.15,560.949,26082,11.29,13.71428571
5/11/08 7:00 AM,33.43,541.168,27024,11.29,13.71428571
5/11/08 8:00 AM,30.9,583.523,28827,11.29,13.71428571
5/11/08 9:00 AM,31.79,774.018,30101,11.29,13.71428571
5/11/08 10:00 AM,34.67,903.731,30745,11.29,13.71428571
5/11/08 11:00 AM,38.16,885.28,30938,11.29,13.71428571
5/11/08 12:00 PM,34.79,682.786,31097,11.29,13.71428571
5/11/08 1:00 PM,28.76,651.628,30808,11.29,13.71428571
5/11/08 2:00 PM,19.06,656.192,30416,11.29,13.71428571
5/11/08 3:00 PM,29.56,789.859,30142,11.29,13.71428571
5/11/08 4:00 PM,33.45,850.475,30167,11.29,13.71428571
5/11/08 5:00 PM,32.58,844.228,30397,11.29,13.71428571
5/11/08 6:00 PM,35.05,849.789,30810,11.29,13.71428571
5/11/08 7:00 PM,36.92,832.707,31404,11.29,13.71428571
5/11/08 8:00 PM,46.13,814.666,32593,11.29,13.71428571
5/11/08 9:00 PM,40.49,701.7,33129,11.29,13.71428571
5/11/08 10:00 PM,29.57,701.052,31813,11.29,13.71428571
5/11/08 11:00 PM,10.39,685.064,30223,11.29,13.71428571
5/12/08 12:00 AM,17.58,635.1,28742,11.38,13.60714286
5/12/08 1:00 AM,17.47,591.735,27926,11.38,13.60714286
5/12/08 2:00 AM,24.11,590.569,27617,11.38,13.60714286
5/12/08 3:00 AM,20.7,575.226,27421,11.38,13.60714286
5/12/08 4:00 AM,36.84,559.524,28099,11.38,13.60714286
5/12/08 5:00 AM,59.15,463.487,29806,11.38,13.60714286
5/12/08 6:00 AM,82.06,431.251,32911,11.38,13.60714286
5/12/08 7:00 AM,125.81,400.763,35253,11.38,13.60714286
5/12/08 8:00 AM,91.53,263.008,36764,11.38,13.60714286
5/12/08 9:00 AM,40.43,182.047,37667,11.38,13.60714286
5/12/08 10:00 AM,140.75,118.062,38045,11.38,13.60714286
5/12/08 11:00 AM,121.84,91.098,38094,11.38,13.60714286
5/12/08 12:00 PM,51.42,78.596,37897,11.38,13.60714286
5/12/08 1:00 PM,52.59,54.054,37782,11.38,13.60714286
5/12/08 2:00 PM,55.75,53.525,37453,11.38,13.60714286
5/12/08 3:00 PM,105.86,59.581,36967,11.38,13.60714286
5/12/08 4:00 PM,44.81,67.607,36763,11.38,13.60714286
5/12/08 5:00 PM,51.04,83.449,36579,11.38,13.60714286
5/12/08 6:00 PM,37.99,99.256,36163,11.38,13.60714286
5/12/08 7:00 PM,37.48,91.641,36045,11.38,13.60714286
5/12/08 8:00 PM,56.67,122.226,36763,11.38,13.60714286
5/12/08 9:00 PM,60.98,196.522,37294,11.38,13.60714286
5/12/08 10:00 PM,32.78,283.732,35589,11.38,13.60714286
5/12/08 11:00 PM,21.7,376.885,33009,11.38,13.60714286
5/13/08 12:00 AM,18.94,511.658,30901,11.18,13.5
5/13/08 1:00 AM,27.34,538.263,29717,11.18,13.5
5/13/08 2:00 AM,28.04,493.45,29129,11.18,13.5
5/13/08 3:00 AM,23.66,534.007,28925,11.18,13.5
5/13/08 4:00 AM,34.17,550.529,29425,11.18,13.5
5/13/08 5:00 AM,33.4,620.01,30997,11.18,13.5
5/13/08 6:00 AM,36.36,660.253,33752,11.18,13.5
5/13/08 7:00 AM,33.54,650.487,35471,11.18,13.5
5/13/08 8:00 AM,32.91,599.98,36363,11.18,13.5
5/13/08 9:00 AM,58.18,628.66,36886,11.18,13.5
5/13/08 10:00 AM,109.83,652.325,37175,11.18,13.5
5/13/08 11:00 AM,37.74,653.03,37316,11.18,13.5
5/13/08 12:00 PM,36.64,697.283,37292,11.18,13.5
5/13/08 1:00 PM,64.92,697.134,37277,11.18,13.5
5/13/08 2:00 PM,72.96,671.82,37222,11.18,13.5
